PSP|KBL,|KBL|IST|FRA|DEN|PSP|
PSP|KBP,|KBP|IST|FRA|DEN|PSP|
PSP|KFS,|KFS|IST|FRA|DEN|PSP|
PSP|KHI,|KHI|IST|FRA|DEN|PSP|
PSP|KIV,|KIV|IST|FRA|DEN|PSP|
PSP|KRT,|KRT|IST|FRA|DEN|PSP|
PSP|KSH,|KSH|IST|FRA|DEN|PSP|
PSP|KVD,|KVD|IST|FRA|DEN|PSP|
PSP|KWI,|KWI|SAW|FRA|DEN|PSP|
PSP|KYA,|KYA|IST|FRA|DEN|PSP|
PSP|KZN,|KZN|IST|FRA|DEN|PSP|
PSP|KZR,|KZR|IST|FRA|DEN|PSP|
PSP|LED,|LED|VIE|ORD|DEN|PSP|
PSP|LEJ,|LEJ|IST|FRA|DEN|PSP|
PSP|LGW,|LGW|IST|FRA|DEN|PSP|
PSP|LHE,|LHE|IST|FRA|DEN|PSP|
PSP|LIS,|LIS|EWR|DEN|PSP|
PSP|LJU,|LJU|IST|FRA|DEN|PSP|
PSP|LOS,|LOS|IAH|PSP|
PSP|LUX,|LUX|IST|FRA|DEN|PSP|
PSP|LWO,|LWO|IST|FRA|DEN|PSP|
PSP|LYS,|LYS|IST|FRA|DEN|PSP|
PSP|MAD,|MAD|EWR|DEN|PSP|
PSP|MAN,|MAN|EWR|DEN|PSP|
PSP|MED,|MED|IST|FRA|DEN|PSP|
PSP|MHD,|MHD|IST|FRA|DEN|PSP|
PSP|MLA,|MLA|IST|FRA|DEN|PSP|
PSP|MRS,|MRS|IST|FRA|DEN|PSP|
PSP|MSQ,|MSQ|IST|FRA|DEN|PSP|
PSP|MXP,|MXP|EWR|DEN|PSP|
PSP|MZH,|MZH|IST|FRA|DEN|PSP|
PSP|MZR,|MZR|IST|FRA|DEN|PSP|
PSP|NAJ,|NAJ|IST|FRA|DEN|PSP|
PSP|NAV,|NAV|IST|FRA|DEN|PSP|
PSP|NCE,|NCE|IST|FRA|DEN|PSP|
PSP|NIM,|NIM|IST|FRA|DEN|PSP|
PSP|NJF,|NJF|IST|FRA|DEN|PSP|
PSP|NSI,|NSI|BRU|ORD|DEN|PSP|
PSP|NUE,|NUE|IST|FRA|DEN|PSP|
PSP|ODS,|ODS|IST|FRA|DEN|PSP|
PSP|ORN,|ORN|IST|FRA|DEN|PSP|
PSP|OTP,|OTP|IST|FRA|DEN|PSP|
PSP|PRG,|PRG|BRU|ORD|DEN|PSP|
