IDA|BAL,|BAL|ESB|FRA|DEN|IDA|
IDA|BJV,|BJV|IST|FRA|DEN|IDA|
IDA|CKZ,|CKZ|ESB|FRA|DEN|IDA|
IDA|DIY,|DIY|ESB|FRA|DEN|IDA|
IDA|ECN,|ECN|IST|FRA|DEN|IDA|
IDA|ERC,|ERC|ESB|FRA|DEN|IDA|
IDA|ERZ,|ERZ|ESB|FRA|DEN|IDA|
IDA|EZS,|EZS|ESB|FRA|DEN|IDA|
IDA|GNY,|GNY|ESB|FRA|DEN|IDA|
IDA|GZP,|GZP|ESB|FRA|DEN|IDA|
IDA|GZT,|GZT|ESB|FRA|DEN|IDA|
IDA|HTY,|HTY|SAW|FRA|DEN|IDA|
IDA|KCM,|KCM|ESB|FRA|DEN|IDA|
IDA|KSY,|KSY|ESB|FRA|DEN|IDA|
IDA|MLX,|MLX|ESB|FRA|DEN|IDA|
IDA|MQM,|MQM|ESB|FRA|DEN|IDA|
IDA|MSR,|MSR|ESB|FRA|DEN|IDA|
IDA|TEQ,|TEQ|ESB|FRA|DEN|IDA|
IDA|TZX,|TZX|ESB|FRA|DEN|IDA|
IDA|VAN,|VAN|ESB|FRA|DEN|IDA|
IDA|ULN,|ULN|FRU|IST|FRA|DEN|IDA|
IDA|HIJ,|HIJ|ICN|YVR|DEN|IDA|
IDA|VVO,|VVO|ICN|YVR|DEN|IDA|
IDA|ACC,|ACC|IST|FRA|DEN|IDA|
IDA|AER,|AER|IST|FRA|DEN|IDA|
IDA|AGP,|AGP|IST|FRA|DEN|IDA|
IDA|ALG,|ALG|IST|FRA|DEN|IDA|
IDA|AMM,|AMM|IST|FRA|DEN|IDA|
IDA|AQJ,|AQJ|IST|FRA|DEN|IDA|
IDA|ARN,|ARN|EWR|DEN|IDA|
IDA|ASR,|ASR|SAW|FRA|DEN|IDA|
IDA|ATH,|ATH|IST|FRA|DEN|IDA|
IDA|BAH,|BAH|IST|FRA|DEN|IDA|
IDA|BEG,|BEG|IST|FRA|DEN|IDA|
IDA|BEN,|BEN|IST|FRA|DEN|IDA|
IDA|BEY,|BEY|IST|FRA|DEN|IDA|
IDA|BHX,|BHX|EWR|DEN|IDA|
IDA|BIO,|BIO|IST|FRA|DEN|IDA|
IDA|BLQ,|BLQ|IST|FRA|DEN|IDA|
IDA|BOM,|BOM|IST|FRA|DEN|IDA|
IDA|BRE,|BRE|IST|FRA|DEN|IDA|
IDA|BSL,|BSL|IST|FRA|DEN|IDA|
IDA|BSR,|BSR|IST|FRA|DEN|IDA|
IDA|BUD,|BUD|IST|FRA|DEN|IDA|
IDA|BUS,|BUS|IST|FRA|DEN|IDA|
IDA|CAI,|CAI|IST|FRA|DEN|IDA|
IDA|CGN,|CGN|IST|FRA|DEN|IDA|
IDA|CMN,|CMN|IST|FRA|DEN|IDA|
IDA|CND,|CND|IST|FRA|DEN|IDA|
IDA|DAR,|DAR|NBO|ZRH|ORD|DEN|IDA|
IDA|DLM,|DLM|IST|FRA|DEN|IDA|
IDA|DMM,|DMM|IST|FRA|DEN|IDA|
IDA|DNK,|DNK|IST|FRA|DEN|IDA|
IDA|DNZ,|DNZ|IST|FRA|DEN|IDA|
IDA|DOK,|DOK|IST|FRA|DEN|IDA|
IDA|DUS,|DUS|ORD|DEN|IDA|
IDA|EDI,|EDI|EWR|DEN|IDA|
IDA|ELQ,|ELQ|IST|FRA|DEN|IDA|
IDA|FDH,|FDH|IST|FRA|DEN|IDA|
IDA|GOA,|GOA|IST|FRA|DEN|IDA|
IDA|GOT,|GOT|BRU|ORD|DEN|IDA|
IDA|HAJ,|HAJ|BRU|ORD|DEN|IDA|
IDA|HBE,|HBE|IST|FRA|DEN|IDA|
IDA|HEL,|HEL|IST|FRA|DEN|IDA|
IDA|HRG,|HRG|IST|FRA|DEN|IDA|
IDA|IFN,|IFN|IST|FRA|DEN|IDA|
IDA|ISE,|ISE|IST|FRA|DEN|IDA|
IDA|ISU,|ISU|IST|FRA|DEN|IDA|
IDA|JIB,|JIB|IST|FRA|DEN|IDA|
IDA|JRO,|JRO|IST|FRA|DEN|IDA|
IDA|KAN,|KAN|IST|FRA|DEN|IDA|
IDA|KBL,|KBL|IST|FRA|DEN|IDA|
IDA|KBP,|KBP|IST|FRA|DEN|IDA|
IDA|KFS,|KFS|IST|FRA|DEN|IDA|
IDA|KHI,|KHI|IST|FRA|DEN|IDA|
IDA|KIV,|KIV|IST|FRA|DEN|IDA|
IDA|KRT,|KRT|IST|FRA|DEN|IDA|
IDA|KSH,|KSH|IST|FRA|DEN|IDA|
IDA|KVD,|KVD|IST|FRA|DEN|IDA|
IDA|KWI,|KWI|SAW|FRA|DEN|IDA|
IDA|KYA,|KYA|IST|FRA|DEN|IDA|
IDA|KZN,|KZN|IST|FRA|DEN|IDA|
IDA|KZR,|KZR|IST|FRA|DEN|IDA|
IDA|LED,|LED|VIE|ORD|DEN|IDA|
IDA|LEJ,|LEJ|IST|FRA|DEN|IDA|
IDA|LGW,|LGW|IST|FRA|DEN|IDA|
IDA|LHE,|LHE|IST|FRA|DEN|IDA|
IDA|LIS,|LIS|EWR|DEN|IDA|
IDA|LJU,|LJU|IST|FRA|DEN|IDA|
IDA|LOS,|LOS|IAH|DEN|IDA|
IDA|LUX,|LUX|IST|FRA|DEN|IDA|
IDA|LWO,|LWO|IST|FRA|DEN|IDA|
IDA|LYS,|LYS|IST|FRA|DEN|IDA|
IDA|MAD,|MAD|EWR|DEN|IDA|
IDA|MAN,|MAN|EWR|DEN|IDA|
IDA|MED,|MED|IST|FRA|DEN|IDA|
IDA|MHD,|MHD|IST|FRA|DEN|IDA|
IDA|MLA,|MLA|IST|FRA|DEN|IDA|
IDA|MRS,|MRS|IST|FRA|DEN|IDA|
IDA|MSQ,|MSQ|IST|FRA|DEN|IDA|
IDA|MXP,|MXP|EWR|DEN|IDA|
IDA|MZH,|MZH|IST|FRA|DEN|IDA|
IDA|MZR,|MZR|IST|FRA|DEN|IDA|
IDA|NAJ,|NAJ|IST|FRA|DEN|IDA|
IDA|NAV,|NAV|IST|FRA|DEN|IDA|
IDA|NCE,|NCE|IST|FRA|DEN|IDA|
IDA|NIM,|NIM|IST|FRA|DEN|IDA|
IDA|NJF,|NJF|IST|FRA|DEN|IDA|
IDA|NSI,|NSI|BRU|ORD|DEN|IDA|
IDA|NUE,|NUE|IST|FRA|DEN|IDA|
