SXM|LOS,|LOS|FRA|EWR|SXM|
SXM|LUX,|LUX|IST|BHX|EWR|SXM|
SXM|LWO,|LWO|IST|BHX|EWR|SXM|
SXM|LYS,|LYS|IST|BHX|EWR|SXM|
SXM|MAD,|MAD|EWR|SXM|
SXM|MAN,|MAN|EWR|SXM|
SXM|MED,|MED|IST|BHX|EWR|SXM|
SXM|MHD,|MHD|IST|BHX|EWR|SXM|
SXM|MLA,|MLA|IST|BHX|EWR|SXM|
SXM|MRS,|MRS|IST|BHX|EWR|SXM|
SXM|MSQ,|MSQ|IST|BHX|EWR|SXM|
SXM|MXP,|MXP|EWR|SXM|
SXM|MZH,|MZH|IST|BHX|EWR|SXM|
SXM|MZR,|MZR|IST|BHX|EWR|SXM|
SXM|NAJ,|NAJ|IST|BHX|EWR|SXM|
SXM|NAV,|NAV|IST|BHX|EWR|SXM|
SXM|NCE,|NCE|IST|BHX|EWR|SXM|
SXM|NIM,|NIM|IST|BHX|EWR|SXM|
SXM|NJF,|NJF|IST|BHX|EWR|SXM|
SXM|NSI,|NSI|BRU|EWR|SXM|
SXM|NUE,|NUE|IST|BHX|EWR|SXM|
SXM|ODS,|ODS|IST|BHX|EWR|SXM|
SXM|ORN,|ORN|IST|BHX|EWR|SXM|
SXM|OTP,|OTP|IST|BHX|EWR|SXM|
SXM|PRG,|PRG|BRU|EWR|SXM|
SXM|PRN,|PRN|IST|BHX|EWR|SXM|
SXM|RIX,|RIX|IST|BHX|EWR|SXM|
SXM|ROV,|ROV|IST|BHX|EWR|SXM|
SXM|RTM,|RTM|IST|BHX|EWR|SXM|
SXM|RUH,|RUH|IST|BHX|EWR|SXM|
SXM|SAH,|SAH|IST|BHX|EWR|SXM|
SXM|SJJ,|SJJ|IST|BHX|EWR|SXM|
SXM|SKG,|SKG|IST|BHX|EWR|SXM|
SXM|SKP,|SKP|IST|BHX|EWR|SXM|
SXM|SSH,|SSH|IST|BHX|EWR|SXM|
SXM|STR,|STR|EWR|SXM|
SXM|SVX,|SVX|IST|BHX|EWR|SXM|
SXM|SYZ,|SYZ|IST|BHX|EWR|SXM|
SXM|SZG,|SZG|IST|BHX|EWR|SXM|
SXM|TBZ,|TBZ|IST|BHX|EWR|SXM|
SXM|TGD,|TGD|IST|BHX|EWR|SXM|
SXM|TIA,|TIA|IST|BHX|EWR|SXM|
SXM|TIF,|TIF|IST|BHX|EWR|SXM|
SXM|TIP,|TIP|IST|BHX|EWR|SXM|
SXM|TLL,|TLL|VNO|CPH|AMS|EWR|SXM|
SXM|TLS,|TLS|IST|BHX|EWR|SXM|
SXM|TRN,|TRN|IST|BHX|EWR|SXM|
SXM|TUN,|TUN|IST|BHX|EWR|SXM|
SXM|TXL,|TXL|EWR|SXM|
SXM|UFA,|UFA|IST|BHX|EWR|SXM|
