ASE|GZT,|GZT|ESB|FRA|DEN|ASE|
ASE|HTY,|HTY|SAW|FRA|DEN|ASE|
ASE|KCM,|KCM|ESB|FRA|DEN|ASE|
ASE|KSY,|KSY|ESB|FRA|DEN|ASE|
ASE|MLX,|MLX|ESB|FRA|DEN|ASE|
ASE|MQM,|MQM|ESB|FRA|DEN|ASE|
ASE|MSR,|MSR|ESB|FRA|DEN|ASE|
ASE|TEQ,|TEQ|ESB|FRA|DEN|ASE|
ASE|TZX,|TZX|ESB|FRA|DEN|ASE|
ASE|VAN,|VAN|ESB|FRA|DEN|ASE|
ASE|ULN,|ULN|FRU|IST|FRA|DEN|ASE|
ASE|HIJ,|HIJ|ICN|YVR|DEN|ASE|
ASE|VVO,|VVO|ICN|YVR|DEN|ASE|
ASE|ACC,|ACC|IST|FRA|DEN|ASE|
ASE|AER,|AER|IST|FRA|DEN|ASE|
ASE|AGP,|AGP|IST|FRA|DEN|ASE|
ASE|ALG,|ALG|IST|FRA|DEN|ASE|
ASE|AMM,|AMM|IST|FRA|DEN|ASE|
ASE|AQJ,|AQJ|IST|FRA|DEN|ASE|
ASE|ARN,|ARN|EWR|DEN|ASE|
ASE|ASR,|ASR|SAW|FRA|DEN|ASE|
ASE|ATH,|ATH|IST|FRA|DEN|ASE|
ASE|BAH,|BAH|IST|FRA|DEN|ASE|
ASE|BEG,|BEG|IST|FRA|DEN|ASE|
ASE|BEN,|BEN|IST|FRA|DEN|ASE|
ASE|BEY,|BEY|IST|FRA|DEN|ASE|
ASE|BHX,|BHX|EWR|DEN|ASE|
ASE|BIO,|BIO|IST|FRA|DEN|ASE|
ASE|BLQ,|BLQ|IST|FRA|DEN|ASE|
ASE|BOM,|BOM|IST|FRA|DEN|ASE|
ASE|BRE,|BRE|IST|FRA|DEN|ASE|
ASE|BSL,|BSL|IST|FRA|DEN|ASE|
ASE|BSR,|BSR|IST|FRA|DEN|ASE|
ASE|BUD,|BUD|IST|FRA|DEN|ASE|
ASE|BUS,|BUS|IST|FRA|DEN|ASE|
ASE|CAI,|CAI|IST|FRA|DEN|ASE|
ASE|CGN,|CGN|IST|FRA|DEN|ASE|
ASE|CMN,|CMN|IST|FRA|DEN|ASE|
ASE|CND,|CND|IST|FRA|DEN|ASE|
ASE|DAR,|DAR|NBO|ZRH|ORD|DEN|ASE|
ASE|DLM,|DLM|IST|FRA|DEN|ASE|
ASE|DMM,|DMM|IST|FRA|DEN|ASE|
ASE|DNK,|DNK|IST|FRA|DEN|ASE|
ASE|DNZ,|DNZ|IST|FRA|DEN|ASE|
ASE|DOK,|DOK|IST|FRA|DEN|ASE|
ASE|DUS,|DUS|ORD|DEN|ASE|
ASE|EDI,|EDI|EWR|DEN|ASE|
ASE|ELQ,|ELQ|IST|FRA|DEN|ASE|
ASE|FDH,|FDH|IST|FRA|DEN|ASE|
ASE|GOA,|GOA|IST|FRA|DEN|ASE|
ASE|GOT,|GOT|BRU|ORD|DEN|ASE|
ASE|HAJ,|HAJ|BRU|ORD|DEN|ASE|
ASE|HBE,|HBE|IST|FRA|DEN|ASE|
ASE|HEL,|HEL|IST|FRA|DEN|ASE|
ASE|HRG,|HRG|IST|FRA|DEN|ASE|
ASE|IFN,|IFN|IST|FRA|DEN|ASE|
ASE|ISE,|ISE|IST|FRA|DEN|ASE|
ASE|ISU,|ISU|IST|FRA|DEN|ASE|
ASE|JIB,|JIB|IST|FRA|DEN|ASE|
ASE|JRO,|JRO|IST|FRA|DEN|ASE|
ASE|KAN,|KAN|IST|FRA|DEN|ASE|
ASE|KBL,|KBL|IST|FRA|DEN|ASE|
ASE|KBP,|KBP|IST|FRA|DEN|ASE|
ASE|KFS,|KFS|IST|FRA|DEN|ASE|
ASE|KHI,|KHI|IST|FRA|DEN|ASE|
ASE|KIV,|KIV|IST|FRA|DEN|ASE|
ASE|KRT,|KRT|IST|FRA|DEN|ASE|
ASE|KSH,|KSH|IST|FRA|DEN|ASE|
ASE|KVD,|KVD|IST|FRA|DEN|ASE|
ASE|KWI,|KWI|SAW|FRA|DEN|ASE|
ASE|KYA,|KYA|IST|FRA|DEN|ASE|
ASE|KZN,|KZN|IST|FRA|DEN|ASE|
ASE|KZR,|KZR|IST|FRA|DEN|ASE|
ASE|LED,|LED|VIE|ORD|DEN|ASE|
ASE|LEJ,|LEJ|IST|FRA|DEN|ASE|
ASE|LGW,|LGW|IST|FRA|DEN|ASE|
ASE|LHE,|LHE|IST|FRA|DEN|ASE|
ASE|LIS,|LIS|EWR|DEN|ASE|
ASE|LJU,|LJU|IST|FRA|DEN|ASE|
ASE|LOS,|LOS|IAH|DEN|ASE|
ASE|LUX,|LUX|IST|FRA|DEN|ASE|
ASE|LWO,|LWO|IST|FRA|DEN|ASE|
ASE|LYS,|LYS|IST|FRA|DEN|ASE|
ASE|MAD,|MAD|EWR|DEN|ASE|
ASE|MAN,|MAN|EWR|DEN|ASE|
ASE|MED,|MED|IST|FRA|DEN|ASE|
ASE|MHD,|MHD|IST|FRA|DEN|ASE|
ASE|MLA,|MLA|IST|FRA|DEN|ASE|
ASE|MRS,|MRS|IST|FRA|DEN|ASE|
ASE|MSQ,|MSQ|IST|FRA|DEN|ASE|
ASE|MXP,|MXP|EWR|DEN|ASE|
ASE|MZH,|MZH|IST|FRA|DEN|ASE|
ASE|MZR,|MZR|IST|FRA|DEN|ASE|
ASE|NAJ,|NAJ|IST|FRA|DEN|ASE|
ASE|NAV,|NAV|IST|FRA|DEN|ASE|
ASE|NCE,|NCE|IST|FRA|DEN|ASE|
ASE|NIM,|NIM|IST|FRA|DEN|ASE|
ASE|NJF,|NJF|IST|FRA|DEN|ASE|
ASE|NSI,|NSI|BRU|ORD|DEN|ASE|
ASE|NUE,|NUE|IST|FRA|DEN|ASE|
ASE|ODS,|ODS|IST|FRA|DEN|ASE|
