PLS|LJU,|LJU|IST|BHX|EWR|PLS|
PLS|LOS,|LOS|FRA|EWR|PLS|
PLS|LUX,|LUX|IST|BHX|EWR|PLS|
PLS|LWO,|LWO|IST|BHX|EWR|PLS|
PLS|LYS,|LYS|IST|BHX|EWR|PLS|
PLS|MAD,|MAD|EWR|PLS|
PLS|MAN,|MAN|EWR|PLS|
PLS|MED,|MED|IST|BHX|EWR|PLS|
PLS|MHD,|MHD|IST|BHX|EWR|PLS|
PLS|MLA,|MLA|IST|BHX|EWR|PLS|
PLS|MRS,|MRS|IST|BHX|EWR|PLS|
PLS|MSQ,|MSQ|IST|BHX|EWR|PLS|
PLS|MXP,|MXP|EWR|PLS|
PLS|MZH,|MZH|IST|BHX|EWR|PLS|
PLS|MZR,|MZR|IST|BHX|EWR|PLS|
PLS|NAJ,|NAJ|IST|BHX|EWR|PLS|
PLS|NAV,|NAV|IST|BHX|EWR|PLS|
PLS|NCE,|NCE|IST|BHX|EWR|PLS|
PLS|NIM,|NIM|IST|BHX|EWR|PLS|
PLS|NJF,|NJF|IST|BHX|EWR|PLS|
PLS|NSI,|NSI|BRU|EWR|PLS|
PLS|NUE,|NUE|IST|BHX|EWR|PLS|
PLS|ODS,|ODS|IST|BHX|EWR|PLS|
PLS|ORN,|ORN|IST|BHX|EWR|PLS|
PLS|OTP,|OTP|IST|BHX|EWR|PLS|
PLS|PRG,|PRG|BRU|EWR|PLS|
PLS|PRN,|PRN|IST|BHX|EWR|PLS|
PLS|RIX,|RIX|IST|BHX|EWR|PLS|
PLS|ROV,|ROV|IST|BHX|EWR|PLS|
PLS|RTM,|RTM|IST|BHX|EWR|PLS|
PLS|RUH,|RUH|IST|BHX|EWR|PLS|
PLS|SAH,|SAH|IST|BHX|EWR|PLS|
PLS|SJJ,|SJJ|IST|BHX|EWR|PLS|
PLS|SKG,|SKG|IST|BHX|EWR|PLS|
PLS|SKP,|SKP|IST|BHX|EWR|PLS|
PLS|SSH,|SSH|IST|BHX|EWR|PLS|
PLS|STR,|STR|EWR|PLS|
PLS|SVX,|SVX|IST|BHX|EWR|PLS|
PLS|SYZ,|SYZ|IST|BHX|EWR|PLS|
PLS|SZG,|SZG|IST|BHX|EWR|PLS|
PLS|TBZ,|TBZ|IST|BHX|EWR|PLS|
PLS|TGD,|TGD|IST|BHX|EWR|PLS|
PLS|TIA,|TIA|IST|BHX|EWR|PLS|
PLS|TIF,|TIF|IST|BHX|EWR|PLS|
PLS|TIP,|TIP|IST|BHX|EWR|PLS|
PLS|TLL,|TLL|VNO|CPH|AMS|EWR|PLS|
PLS|TLS,|TLS|IST|BHX|EWR|PLS|
PLS|TRN,|TRN|IST|BHX|EWR|PLS|
PLS|TUN,|TUN|IST|BHX|EWR|PLS|
PLS|TXL,|TXL|EWR|PLS|
PLS|UFA,|UFA|IST|BHX|EWR|PLS|
