SDJ|WUS,|WUS|PEK|ICN|FUK|GUM|SDJ|
SDJ|JMU,|JMU|PVG|NGO|GUM|SDJ|
SDJ|NDG,|NDG|PVG|NGO|GUM|SDJ|
SDJ|JXA,|JXA|SHE|FUK|GUM|SDJ|
SDJ|PUS,|PUS|SHE|FUK|GUM|SDJ|
SDJ|BKI,|BKI|SZX|MXZ|HKG|GUM|SDJ|
SDJ|AKU,|AKU|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|ALA,|ALA|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|ASB,|ASB|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|DNH,|DNH|XIY|CAN|HKG|GUM|SDJ|
SDJ|DYU,|DYU|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|FRU,|FRU|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|GYD,|GYD|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|HTN,|HTN|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|IKA,|IKA|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|KCA,|KCA|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|KHG,|KHG|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|KRL,|KRL|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|KRY,|KRY|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|LBD,|LBD|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|NLT,|NLT|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|OSS,|OSS|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|OVB,|OVB|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|TBS,|TBS|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|TCG,|TCG|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|TSE,|TSE|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|YIN,|YIN|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|ENH,|ENH|WUH|HKG|GUM|SDJ|
SDJ|ENY,|ENY|XIY|CAN|HKG|GUM|SDJ|
SDJ|WXN,|WXN|XMN|MNL|GUM|SDJ|
SDJ|BLL,|BLL|IST|ICN|FUK|GUM|SDJ|
SDJ|ESB,|ESB|IST|ICN|FUK|GUM|SDJ|
SDJ|SAW,|SAW|TBS|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|HAM,|HAM|IST|ICN|FUK|GUM|SDJ|
SDJ|HRE,|HRE|ADD|IST|ICN|FUK|GUM|SDJ|
SDJ|JUB,|JUB|CAI|IST|ICN|FUK|GUM|SDJ|
SDJ|SSG,|SSG|DLA|IST|ICN|FUK|GUM|SDJ|
SDJ|BGW,|BGW|IST|ICN|FUK|GUM|SDJ|
SDJ|EBL,|EBL|IST|ICN|FUK|GUM|SDJ|
SDJ|VKO,|VKO|IST|ICN|FUK|GUM|SDJ|
SDJ|MCT,|MCT|IST|ICN|FUK|GUM|SDJ|
SDJ|AYT,|AYT|IST|ICN|FUK|GUM|SDJ|
SDJ|SCQ,|SCQ|BIO|IST|ICN|FUK|GUM|SDJ|
SDJ|AAL,|AAL|IST|ICN|FUK|GUM|SDJ|
SDJ|AOE,|AOE|BRU|IST|ICN|FUK|GUM|SDJ|
SDJ|JNB,|JNB|IST|ICN|FUK|GUM|SDJ|
SDJ|LBV,|LBV|DLA|IST|ICN|FUK|GUM|SDJ|
SDJ|ADA,|ADA|IST|ICN|FUK|GUM|SDJ|
SDJ|ADB,|ADB|IST|ICN|FUK|GUM|SDJ|
SDJ|ADF,|ADF|IST|ICN|FUK|GUM|SDJ|
SDJ|AJI,|AJI|IST|ICN|FUK|GUM|SDJ|
SDJ|BAL,|BAL|IST|ICN|FUK|GUM|SDJ|
SDJ|BJV,|BJV|IST|ICN|FUK|GUM|SDJ|
SDJ|CKZ,|CKZ|ESB|IST|ICN|FUK|GUM|SDJ|
SDJ|DIY,|DIY|IST|ICN|FUK|GUM|SDJ|
SDJ|ECN,|ECN|IST|ICN|FUK|GUM|SDJ|
SDJ|ERC,|ERC|IST|ICN|FUK|GUM|SDJ|
SDJ|ERZ,|ERZ|IST|ICN|FUK|GUM|SDJ|
SDJ|EZS,|EZS|IST|ICN|FUK|GUM|SDJ|
SDJ|GNY,|GNY|IST|ICN|FUK|GUM|SDJ|
SDJ|GZP,|GZP|ESB|IST|ICN|FUK|GUM|SDJ|
SDJ|GZT,|GZT|IST|ICN|FUK|GUM|SDJ|
SDJ|HTY,|HTY|IST|ICN|FUK|GUM|SDJ|
SDJ|KCM,|KCM|IST|ICN|FUK|GUM|SDJ|
SDJ|KSY,|KSY|IST|ICN|FUK|GUM|SDJ|
SDJ|MLX,|MLX|IST|ICN|FUK|GUM|SDJ|
SDJ|MQM,|MQM|IST|ICN|FUK|GUM|SDJ|
SDJ|MSR,|MSR|IST|ICN|FUK|GUM|SDJ|
SDJ|TEQ,|TEQ|ESB|IST|ICN|FUK|GUM|SDJ|
SDJ|TZX,|TZX|IST|ICN|FUK|GUM|SDJ|
SDJ|VAN,|VAN|IST|ICN|FUK|GUM|SDJ|
SDJ|ULN,|ULN|FRU|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|HIJ,|HIJ|ICN|FUK|GUM|SDJ|
SDJ|VVO,|VVO|ICN|FUK|GUM|SDJ|
SDJ|ACC,|ACC|IST|ICN|FUK|GUM|SDJ|
SDJ|AER,|AER|IST|ICN|FUK|GUM|SDJ|
SDJ|AGP,|AGP|IST|ICN|FUK|GUM|SDJ|
SDJ|ALG,|ALG|IST|ICN|FUK|GUM|SDJ|
SDJ|AMM,|AMM|IST|ICN|FUK|GUM|SDJ|
SDJ|AQJ,|AQJ|IST|ICN|FUK|GUM|SDJ|
SDJ|ARN,|ARN|IST|ICN|FUK|GUM|SDJ|
SDJ|ASR,|ASR|IST|ICN|FUK|GUM|SDJ|
SDJ|ATH,|ATH|IST|ICN|FUK|GUM|SDJ|
SDJ|BAH,|BAH|IST|ICN|FUK|GUM|SDJ|
SDJ|BEG,|BEG|IST|ICN|FUK|GUM|SDJ|
SDJ|BEN,|BEN|IST|ICN|FUK|GUM|SDJ|
SDJ|BEY,|BEY|IST|ICN|FUK|GUM|SDJ|
SDJ|BHX,|BHX|IST|ICN|FUK|GUM|SDJ|
