GSO|MSQ,|MSQ|IST|BHX|EWR|GSO|
GSO|MXP,|MXP|EWR|GSO|
GSO|MZH,|MZH|IST|BHX|EWR|GSO|
GSO|MZR,|MZR|IST|BHX|EWR|GSO|
GSO|NAJ,|NAJ|IST|BHX|EWR|GSO|
GSO|NAV,|NAV|IST|BHX|EWR|GSO|
GSO|NCE,|NCE|IST|BHX|EWR|GSO|
GSO|NIM,|NIM|IST|BHX|EWR|GSO|
GSO|NJF,|NJF|IST|BHX|EWR|GSO|
GSO|NSI,|NSI|BRU|EWR|GSO|
GSO|NUE,|NUE|IST|BHX|EWR|GSO|
GSO|ODS,|ODS|IST|BHX|EWR|GSO|
GSO|ORN,|ORN|IST|BHX|EWR|GSO|
GSO|OTP,|OTP|IST|BHX|EWR|GSO|
GSO|PRG,|PRG|BRU|EWR|GSO|
GSO|PRN,|PRN|IST|BHX|EWR|GSO|
GSO|RIX,|RIX|IST|BHX|EWR|GSO|
GSO|ROV,|ROV|IST|BHX|EWR|GSO|
GSO|RTM,|RTM|IST|BHX|EWR|GSO|
GSO|RUH,|RUH|IST|BHX|EWR|GSO|
GSO|SAH,|SAH|IST|BHX|EWR|GSO|
GSO|SJJ,|SJJ|IST|BHX|EWR|GSO|
GSO|SKG,|SKG|IST|BHX|EWR|GSO|
GSO|SKP,|SKP|IST|BHX|EWR|GSO|
GSO|SSH,|SSH|IST|BHX|EWR|GSO|
GSO|STR,|STR|EWR|GSO|
GSO|SVX,|SVX|IST|BHX|EWR|GSO|
GSO|SYZ,|SYZ|IST|BHX|EWR|GSO|
GSO|SZG,|SZG|IST|BHX|EWR|GSO|
GSO|TBZ,|TBZ|IST|BHX|EWR|GSO|
GSO|TGD,|TGD|IST|BHX|EWR|GSO|
GSO|TIA,|TIA|IST|BHX|EWR|GSO|
GSO|TIF,|TIF|IST|BHX|EWR|GSO|
GSO|TIP,|TIP|IST|BHX|EWR|GSO|
GSO|TLL,|TLL|VNO|CPH|YYZ|IAD|GSO|
GSO|TLS,|TLS|IST|BHX|EWR|GSO|
GSO|TRN,|TRN|IST|BHX|EWR|GSO|
