TRD|CND,|CND|IST|CPH|TRD|
TRD|DAR,|DAR|IST|CPH|TRD|
TRD|DLM,|DLM|IST|CPH|TRD|
TRD|DMM,|DMM|IST|CPH|TRD|
TRD|DNK,|DNK|IST|CPH|TRD|
TRD|DNZ,|DNZ|IST|CPH|TRD|
TRD|DOK,|DOK|IST|CPH|TRD|
TRD|DUS,|DUS|IST|CPH|TRD|
TRD|EDI,|EDI|IST|CPH|TRD|
TRD|ELQ,|ELQ|IST|CPH|TRD|
TRD|FDH,|FDH|IST|CPH|TRD|
TRD|GOA,|GOA|IST|CPH|TRD|
TRD|GOT,|GOT|IST|CPH|TRD|
TRD|HAJ,|HAJ|IST|CPH|TRD|
TRD|HBE,|HBE|IST|CPH|TRD|
TRD|HEL,|HEL|IST|CPH|TRD|
TRD|HRG,|HRG|IST|CPH|TRD|
TRD|IFN,|IFN|IST|CPH|TRD|
TRD|ISE,|ISE|IST|CPH|TRD|
TRD|ISU,|ISU|IST|CPH|TRD|
TRD|JIB,|JIB|IST|CPH|TRD|
TRD|JRO,|JRO|IST|CPH|TRD|
TRD|KAN,|KAN|IST|CPH|TRD|
TRD|KBL,|KBL|IST|CPH|TRD|
TRD|KBP,|KBP|IST|CPH|TRD|
TRD|KFS,|KFS|IST|CPH|TRD|
TRD|KHI,|KHI|IST|CPH|TRD|
TRD|KIV,|KIV|IST|CPH|TRD|
TRD|KRT,|KRT|IST|CPH|TRD|
TRD|KSH,|KSH|IST|CPH|TRD|
TRD|KVD,|KVD|IST|CPH|TRD|
TRD|KWI,|KWI|IST|CPH|TRD|
TRD|KYA,|KYA|IST|CPH|TRD|
TRD|KZN,|KZN|IST|CPH|TRD|
TRD|KZR,|KZR|IST|CPH|TRD|
TRD|LED,|LED|IST|CPH|TRD|
TRD|LEJ,|LEJ|IST|CPH|TRD|
TRD|LGW,|LGW|IST|CPH|TRD|
TRD|LHE,|LHE|IST|CPH|TRD|
TRD|LIS,|LIS|IST|CPH|TRD|
TRD|LJU,|LJU|IST|CPH|TRD|
TRD|LOS,|LOS|IST|CPH|TRD|
TRD|LUX,|LUX|IST|CPH|TRD|
TRD|LWO,|LWO|IST|CPH|TRD|
TRD|LYS,|LYS|IST|CPH|TRD|
TRD|MAD,|MAD|IST|CPH|TRD|
TRD|MAN,|MAN|IST|CPH|TRD|
TRD|MED,|MED|IST|CPH|TRD|
TRD|MHD,|MHD|IST|CPH|TRD|
TRD|MLA,|MLA|IST|CPH|TRD|
TRD|MRS,|MRS|IST|CPH|TRD|
TRD|MSQ,|MSQ|IST|CPH|TRD|
TRD|MXP,|MXP|IST|CPH|TRD|
TRD|MZH,|MZH|IST|CPH|TRD|
TRD|MZR,|MZR|IST|CPH|TRD|
TRD|NAJ,|NAJ|IST|CPH|TRD|
TRD|NAV,|NAV|IST|CPH|TRD|
TRD|NCE,|NCE|IST|CPH|TRD|
TRD|NIM,|NIM|IST|CPH|TRD|
TRD|NJF,|NJF|IST|CPH|TRD|
TRD|NSI,|NSI|IST|CPH|TRD|
TRD|NUE,|NUE|IST|CPH|TRD|
TRD|ODS,|ODS|IST|CPH|TRD|
TRD|ORN,|ORN|IST|CPH|TRD|
TRD|OTP,|OTP|IST|CPH|TRD|
TRD|PRG,|PRG|IST|CPH|TRD|
TRD|PRN,|PRN|IST|CPH|TRD|
TRD|RIX,|RIX|IST|CPH|TRD|
TRD|ROV,|ROV|IST|CPH|TRD|
TRD|RTM,|RTM|IST|CPH|TRD|
TRD|RUH,|RUH|IST|CPH|TRD|
