CCS|GZP,|GZP|ESB|VIE|YYZ|IAH|CCS|
CCS|GZT,|GZT|ESB|VIE|YYZ|IAH|CCS|
CCS|HTY,|HTY|SAW|VIE|YYZ|IAH|CCS|
CCS|KCM,|KCM|ESB|VIE|YYZ|IAH|CCS|
CCS|KSY,|KSY|ESB|VIE|YYZ|IAH|CCS|
CCS|MLX,|MLX|ESB|VIE|YYZ|IAH|CCS|
CCS|MQM,|MQM|ESB|VIE|YYZ|IAH|CCS|
CCS|MSR,|MSR|ESB|VIE|YYZ|IAH|CCS|
CCS|TEQ,|TEQ|ESB|VIE|YYZ|IAH|CCS|
CCS|TZX,|TZX|ESB|VIE|YYZ|IAH|CCS|
CCS|VAN,|VAN|ESB|VIE|YYZ|IAH|CCS|
CCS|ULN,|ULN|FRU|IST|IAH|CCS|
CCS|HIJ,|HIJ|ICN|YVR|IAH|CCS|
CCS|VVO,|VVO|ICN|YVR|IAH|CCS|
CCS|ACC,|ACC|IST|IAH|CCS|
CCS|AER,|AER|IST|IAH|CCS|
CCS|AGP,|AGP|IST|IAH|CCS|
CCS|ALG,|ALG|IST|IAH|CCS|
CCS|AMM,|AMM|IST|IAH|CCS|
CCS|AQJ,|AQJ|IST|IAH|CCS|
CCS|ARN,|ARN|EWR|IAH|CCS|
CCS|ASR,|ASR|SAW|VIE|YYZ|IAH|CCS|
CCS|ATH,|ATH|IST|IAH|CCS|
CCS|BAH,|BAH|IST|IAH|CCS|
CCS|BEG,|BEG|IST|IAH|CCS|
CCS|BEN,|BEN|IST|IAH|CCS|
CCS|BEY,|BEY|IST|IAH|CCS|
CCS|BHX,|BHX|EWR|IAH|CCS|
CCS|BIO,|BIO|IST|IAH|CCS|
CCS|BLQ,|BLQ|IST|IAH|CCS|
CCS|BOM,|BOM|EWR|IAH|CCS|
CCS|BRE,|BRE|IST|IAH|CCS|
CCS|BSL,|BSL|IST|IAH|CCS|
CCS|BSR,|BSR|IST|IAH|CCS|
CCS|BUD,|BUD|IST|IAH|CCS|
CCS|BUS,|BUS|IST|IAH|CCS|
CCS|CAI,|CAI|JFK|IAD|IAH|CCS|
CCS|CGN,|CGN|IST|IAH|CCS|
CCS|CMN,|CMN|IST|IAH|CCS|
CCS|CND,|CND|IST|IAH|CCS|
CCS|DAR,|DAR|NBO|ZRH|YUL|IAH|CCS|
CCS|DLM,|DLM|IST|IAH|CCS|
CCS|DMM,|DMM|IST|IAH|CCS|
CCS|DNK,|DNK|IST|IAH|CCS|
CCS|DNZ,|DNZ|IST|IAH|CCS|
CCS|DOK,|DOK|IST|IAH|CCS|
CCS|DUS,|DUS|ORD|IAH|CCS|
CCS|EDI,|EDI|EWR|IAH|CCS|
CCS|ELQ,|ELQ|IST|IAH|CCS|
CCS|FDH,|FDH|IST|IAH|CCS|
CCS|GOA,|GOA|IST|IAH|CCS|
CCS|GOT,|GOT|BRU|YUL|IAH|CCS|
CCS|HAJ,|HAJ|BRU|YUL|IAH|CCS|
CCS|HBE,|HBE|IST|IAH|CCS|
CCS|HEL,|HEL|IST|IAH|CCS|
CCS|HRG,|HRG|IST|IAH|CCS|
CCS|IFN,|IFN|IST|IAH|CCS|
CCS|ISE,|ISE|IST|IAH|CCS|
CCS|ISU,|ISU|IST|IAH|CCS|
CCS|JIB,|JIB|IST|IAH|CCS|
CCS|JRO,|JRO|IST|IAH|CCS|
CCS|KAN,|KAN|IST|IAH|CCS|
CCS|KBL,|KBL|IST|IAH|CCS|
CCS|KBP,|KBP|IST|IAH|CCS|
CCS|KFS,|KFS|IST|IAH|CCS|
CCS|KHI,|KHI|IST|IAH|CCS|
CCS|KIV,|KIV|IST|IAH|CCS|
CCS|KRT,|KRT|IST|IAH|CCS|
CCS|KSH,|KSH|IST|IAH|CCS|
CCS|KVD,|KVD|IST|IAH|CCS|
CCS|KWI,|KWI|SAW|VIE|YYZ|IAH|CCS|
CCS|KYA,|KYA|IST|IAH|CCS|
CCS|KZN,|KZN|IST|IAH|CCS|
CCS|KZR,|KZR|IST|IAH|CCS|
CCS|LED,|LED|VIE|YYZ|IAH|CCS|
CCS|LEJ,|LEJ|IST|IAH|CCS|
CCS|LGW,|LGW|IST|IAH|CCS|
CCS|LHE,|LHE|IST|IAH|CCS|
CCS|LIS,|LIS|EWR|IAH|CCS|
CCS|LJU,|LJU|IST|IAH|CCS|
CCS|LOS,|LOS|IAH|CCS|
CCS|LUX,|LUX|IST|IAH|CCS|
CCS|LWO,|LWO|IST|IAH|CCS|
CCS|LYS,|LYS|IST|IAH|CCS|
CCS|MAD,|MAD|EWR|IAH|CCS|
CCS|MAN,|MAN|EWR|IAH|CCS|
CCS|MED,|MED|IST|IAH|CCS|
CCS|MHD,|MHD|IST|IAH|CCS|
CCS|MLA,|MLA|IST|IAH|CCS|
CCS|MRS,|MRS|IST|IAH|CCS|
CCS|MSQ,|MSQ|IST|IAH|CCS|
CCS|MXP,|MXP|EWR|IAH|CCS|
CCS|MZH,|MZH|IST|IAH|CCS|
CCS|MZR,|MZR|IST|IAH|CCS|
CCS|NAJ,|NAJ|IST|IAH|CCS|
CCS|NAV,|NAV|IST|IAH|CCS|
CCS|NCE,|NCE|IST|IAH|CCS|
CCS|NIM,|NIM|IST|IAH|CCS|
CCS|NJF,|NJF|IST|IAH|CCS|
CCS|NSI,|NSI|BRU|YUL|IAH|CCS|
CCS|NUE,|NUE|IST|IAH|CCS|
CCS|ODS,|ODS|IST|IAH|CCS|
CCS|ORN,|ORN|IST|IAH|CCS|
CCS|OTP,|OTP|IST|IAH|CCS|
CCS|PRG,|PRG|BRU|YUL|IAH|CCS|
CCS|PRN,|PRN|IST|IAH|CCS|
CCS|RIX,|RIX|IST|IAH|CCS|
CCS|ROV,|ROV|IST|IAH|CCS|
CCS|RTM,|RTM|IST|IAH|CCS|
CCS|RUH,|RUH|IST|IAH|CCS|
CCS|SAH,|SAH|IST|IAH|CCS|
CCS|SJJ,|SJJ|IST|IAH|CCS|
CCS|SKG,|SKG|IST|IAH|CCS|
CCS|SKP,|SKP|IST|IAH|CCS|
CCS|SSH,|SSH|IST|IAH|CCS|
CCS|STR,|STR|EWR|IAH|CCS|
CCS|SVX,|SVX|IST|IAH|CCS|
CCS|SYZ,|SYZ|IST|IAH|CCS|
CCS|SZG,|SZG|IST|IAH|CCS|
CCS|TBZ,|TBZ|IST|IAH|CCS|
CCS|TGD,|TGD|IST|IAH|CCS|
CCS|TIA,|TIA|IST|IAH|CCS|
CCS|TIF,|TIF|IST|IAH|CCS|
CCS|TIP,|TIP|IST|IAH|CCS|
