JAN|RUH,|RUH|IST|ORD|JAN|
JAN|SAH,|SAH|IST|ORD|JAN|
JAN|SJJ,|SJJ|IST|ORD|JAN|
JAN|SKG,|SKG|IST|ORD|JAN|
JAN|SKP,|SKP|IST|ORD|JAN|
JAN|SSH,|SSH|IST|ORD|JAN|
JAN|STR,|STR|EWR|MDW|JAN|
JAN|SVX,|SVX|IST|ORD|JAN|
JAN|SYZ,|SYZ|IST|ORD|JAN|
JAN|SZG,|SZG|IST|ORD|JAN|
JAN|TBZ,|TBZ|IST|ORD|JAN|
JAN|TGD,|TGD|IST|ORD|JAN|
JAN|TIA,|TIA|IST|ORD|JAN|
JAN|TIF,|TIF|IST|ORD|JAN|
JAN|TIP,|TIP|IST|ORD|JAN|
JAN|TLL,|TLL|VNO|CPH|YYZ|DTW|MDW|JAN|
JAN|TLS,|TLS|IST|ORD|JAN|
JAN|TRN,|TRN|IST|ORD|JAN|
JAN|TUN,|TUN|IST|ORD|JAN|
JAN|TXL,|TXL|EWR|MDW|JAN|
JAN|UFA,|UFA|IST|ORD|JAN|
JAN|VAS,|VAS|SAW|VIE|ORD|JAN|
