SIN|OTP,|OTP|IST|SIN|
SIN|PRG,|PRG|IST|SIN|
SIN|PRN,|PRN|IST|SIN|
SIN|RIX,|RIX|IST|SIN|
SIN|ROV,|ROV|IST|SIN|
SIN|RTM,|RTM|IST|SIN|
SIN|RUH,|RUH|IST|SIN|
SIN|SAH,|SAH|IST|SIN|
SIN|SJJ,|SJJ|IST|SIN|
SIN|SKG,|SKG|IST|SIN|
SIN|SKP,|SKP|IST|SIN|
SIN|SSH,|SSH|IST|SIN|
SIN|STR,|STR|IST|SIN|
SIN|SVX,|SVX|IST|SIN|
SIN|SYZ,|SYZ|IST|SIN|
SIN|SZG,|SZG|IST|SIN|
SIN|TBZ,|TBZ|IST|SIN|
SIN|TGD,|TGD|IST|SIN|
SIN|TIA,|TIA|IST|SIN|
SIN|TIF,|TIF|IST|SIN|
SIN|TIP,|TIP|IST|SIN|
SIN|TLL,|TLL|IST|SIN|
SIN|TLS,|TLS|IST|SIN|
SIN|TRN,|TRN|IST|SIN|
SIN|TUN,|TUN|IST|SIN|
SIN|TXL,|TXL|IST|SIN|
SIN|UFA,|UFA|IST|SIN|
SIN|VAS,|VAS|IST|SIN|
SIN|VCE,|VCE|IST|SIN|
SIN|YNB,|YNB|IST|SIN|
SIN|ZAG,|ZAG|IST|SIN|
SIN|MGQ,|MGQ|JIB|IST|SIN|
SIN|CPT,|CPT|JNB|IST|SIN|
SIN|MBA,|MBA|JRO|IST|SIN|
SIN|NDJ,|NDJ|KAN|IST|SIN|
SIN|CMB,|CMB|MLE|CAN|SIN|
SIN|ADE,|ADE|SAH|IST|SIN|
SIN|ASF,|ASF|SAW|ADB|IST|SIN|
SIN|STW,|STW|SAW|ADB|IST|SIN|
SIN|LFW,|LFW|ABJ|OUA|NIM|IST|SIN|
SIN|CEC,|CEC|SFO|NRT|SIN|
SIN|SMF,|SMF|SFO|NRT|SIN|
SIN|CDR,|CDR|AIA|DEN|YVR|HKG|SIN|
SIN|FMN,|FMN|DEN|YVR|HKG|SIN|
SIN|JST,|JST|IAD|PEK|CAN|SIN|
SIN|JHW,|JHW|CLE|YYZ|PEK|CAN|SIN|
SIN|SHD,|SHD|IAD|PEK|CAN|SIN|
SIN|PTY,|PTY|ORD|HKG|SIN|
SIN|FNA,|FNA|BRU|IST|SIN|
SIN|SXB,|SXB|BRU|IST|SIN|
SIN|ACV,|ACV|SFO|NRT|SIN|
SIN|MGW,|MGW|IAD|PEK|CAN|SIN|
SIN|ALB,|ALB|EWR|PEK|CAN|SIN|
SIN|AUS,|AUS|DEN|YVR|HKG|SIN|
SIN|BFD,|BFD|CLE|YYZ|PEK|CAN|SIN|
SIN|BUF,|BUF|CLE|YYZ|PEK|CAN|SIN|
SIN|CHS,|CHS|ORD|HKG|SIN|
SIN|DAY,|DAY|ORD|HKG|SIN|
SIN|DUJ,|DUJ|CLE|YYZ|PEK|CAN|SIN|
SIN|ERI,|ERI|CLE|YYZ|PEK|CAN|SIN|
SIN|FKL,|FKL|CLE|YYZ|PEK|CAN|SIN|
SIN|FNT,|FNT|CLE|YYZ|PEK|CAN|SIN|
SIN|GRR,|GRR|ORD|HKG|SIN|
SIN|GSP,|GSP|ORD|HKG|SIN|
SIN|PBI,|PBI|ATL|ORD|HKG|SIN|
SIN|PKB,|PKB|CLE|YYZ|PEK|CAN|SIN|
SIN|RIC,|RIC|IAD|PEK|CAN|SIN|
SIN|SDF,|SDF|ORD|HKG|SIN|
SIN|GUM,|GUM|HKG|SIN|
SIN|WRL,|WRL|CYS|DEN|YVR|HKG|SIN|
SIN|LBL,|SIN|
SIN|ABQ,|ABQ|SEA|NRT|SIN|
SIN|AIA,|AIA|DEN|YVR|HKG|SIN|
SIN|ALS,|ALS|DEN|YVR|HKG|SIN|
SIN|AMA,|AMA|DEN|YVR|HKG|SIN|
SIN|ANC,|ANC|SEA|NRT|SIN|
SIN|ASE,|ASE|DEN|YVR|HKG|SIN|
SIN|BFL,|BFL|SFO|NRT|SIN|
