LFW|BHX,|BHX|BRU|LFW|
LFW|BIO,|BIO|IST|BRU|LFW|
LFW|BLQ,|BLQ|IST|BRU|LFW|
LFW|BOM,|BOM|IST|BRU|LFW|
LFW|BRE,|BRE|IST|BRU|LFW|
LFW|BSL,|BSL|IST|BRU|LFW|
LFW|BSR,|BSR|IST|BRU|LFW|
LFW|BUD,|BUD|IST|BRU|LFW|
LFW|BUS,|BUS|IST|BRU|LFW|
LFW|CAI,|CAI|IST|BRU|LFW|
LFW|CGN,|CGN|IST|BRU|LFW|
LFW|CMN,|CMN|IST|BRU|LFW|
LFW|CND,|CND|IST|BRU|LFW|
LFW|DAR,|DAR|IST|BRU|LFW|
LFW|DLM,|DLM|IST|BRU|LFW|
LFW|DMM,|DMM|IST|BRU|LFW|
LFW|DNK,|DNK|IST|BRU|LFW|
LFW|DNZ,|DNZ|IST|BRU|LFW|
LFW|DOK,|DOK|IST|BRU|LFW|
LFW|DUS,|DUS|IST|BRU|LFW|
LFW|EDI,|EDI|IST|BRU|LFW|
LFW|ELQ,|ELQ|IST|BRU|LFW|
LFW|FDH,|FDH|IST|BRU|LFW|
LFW|GOA,|GOA|IST|BRU|LFW|
LFW|GOT,|GOT|BRU|LFW|
LFW|HAJ,|HAJ|BRU|LFW|
LFW|HBE,|HBE|IST|BRU|LFW|
LFW|HEL,|HEL|IST|BRU|LFW|
LFW|HRG,|HRG|IST|BRU|LFW|
LFW|IFN,|IFN|IST|BRU|LFW|
LFW|ISE,|ISE|IST|BRU|LFW|
LFW|ISU,|ISU|IST|BRU|LFW|
LFW|JIB,|JIB|IST|BRU|LFW|
LFW|JRO,|JRO|IST|BRU|LFW|
LFW|KAN,|KAN|IST|BRU|LFW|
LFW|KBL,|KBL|IST|BRU|LFW|
LFW|KBP,|KBP|IST|BRU|LFW|
LFW|KFS,|KFS|IST|BRU|LFW|
LFW|KHI,|KHI|IST|BRU|LFW|
LFW|KIV,|KIV|IST|BRU|LFW|
LFW|KRT,|KRT|IST|BRU|LFW|
LFW|KSH,|KSH|IST|BRU|LFW|
LFW|KVD,|KVD|IST|BRU|LFW|
LFW|KWI,|KWI|SAW|BRU|LFW|
LFW|KYA,|KYA|IST|BRU|LFW|
LFW|KZN,|KZN|IST|BRU|LFW|
LFW|KZR,|KZR|IST|BRU|LFW|
LFW|LED,|LED|IST|BRU|LFW|
LFW|LEJ,|LEJ|IST|BRU|LFW|
LFW|LGW,|LGW|IST|BRU|LFW|
LFW|LHE,|LHE|IST|BRU|LFW|
LFW|LIS,|LIS|IST|BRU|LFW|
LFW|LJU,|LJU|IST|BRU|LFW|
LFW|LOS,|LOS|IST|BRU|LFW|
LFW|LUX,|LUX|IST|BRU|LFW|
LFW|LWO,|LWO|IST|BRU|LFW|
LFW|LYS,|LYS|IST|BRU|LFW|
LFW|MAD,|MAD|IST|BRU|LFW|
LFW|MAN,|MAN|BRU|LFW|
LFW|MED,|MED|IST|BRU|LFW|
LFW|MHD,|MHD|IST|BRU|LFW|
LFW|MLA,|MLA|IST|BRU|LFW|
LFW|MRS,|MRS|IST|BRU|LFW|
LFW|MSQ,|MSQ|IST|BRU|LFW|
LFW|MXP,|MXP|IST|BRU|LFW|
LFW|MZH,|MZH|IST|BRU|LFW|
LFW|MZR,|MZR|IST|BRU|LFW|
LFW|NAJ,|NAJ|IST|BRU|LFW|
LFW|NAV,|NAV|IST|BRU|LFW|
LFW|NCE,|NCE|IST|BRU|LFW|
LFW|NIM,|NIM|IST|BRU|LFW|
LFW|NJF,|NJF|IST|BRU|LFW|
LFW|NSI,|NSI|BRU|LFW|
LFW|NUE,|NUE|IST|BRU|LFW|
LFW|ODS,|ODS|IST|BRU|LFW|
LFW|ORN,|ORN|IST|BRU|LFW|
LFW|OTP,|OTP|IST|BRU|LFW|
LFW|PRG,|PRG|BRU|LFW|
LFW|PRN,|PRN|IST|BRU|LFW|
LFW|RIX,|RIX|IST|BRU|LFW|
LFW|ROV,|ROV|IST|BRU|LFW|
