OSL|SXB,|SXB|BRU|IST|OSL|
OSL|ACV,|ACV|SMF|ORD|EWR|OSL|
OSL|MGW,|MGW|IAD|EWR|OSL|
OSL|ALB,|ALB|EWR|OSL|
OSL|AUS,|AUS|EWR|OSL|
OSL|BFD,|BFD|CLE|EWR|OSL|
OSL|BUF,|BUF|EWR|OSL|
OSL|CHS,|CHS|EWR|OSL|
OSL|DAY,|DAY|EWR|OSL|
OSL|DUJ,|DUJ|CLE|EWR|OSL|
OSL|ERI,|ERI|CLE|EWR|OSL|
OSL|FKL,|FKL|CLE|EWR|OSL|
OSL|FNT,|FNT|CLE|EWR|OSL|
OSL|GRR,|GRR|EWR|OSL|
OSL|GSP,|GSP|EWR|OSL|
OSL|PBI,|PBI|EWR|OSL|
OSL|PKB,|PKB|CLE|EWR|OSL|
OSL|RIC,|RIC|EWR|OSL|
OSL|SDF,|SDF|EWR|OSL|
OSL|GUM,|GUM|FUK|ICN|IST|OSL|
OSL|WRL,|WRL|CYS|DEN|EWR|OSL|
OSL|LBL,|OSL|
OSL|ABQ,|ABQ|MCI|EWR|OSL|
OSL|AIA,|AIA|DEN|EWR|OSL|
OSL|ALS,|ALS|DEN|EWR|OSL|
OSL|AMA,|AMA|DAL|LIT|BWI|EWR|OSL|
OSL|ANC,|ANC|ORD|EWR|OSL|
OSL|ASE,|ASE|DEN|EWR|OSL|
OSL|BFL,|BFL|DEN|EWR|OSL|
OSL|BHM,|BHM|BWI|EWR|OSL|
OSL|BIL,|BIL|DEN|EWR|OSL|
OSL|BIS,|BIS|DEN|EWR|OSL|
OSL|BOI,|BOI|ORD|EWR|OSL|
OSL|BUR,|BUR|LAS|EWR|OSL|
OSL|BZN,|BZN|ORD|EWR|OSL|
OSL|CID,|CID|ORD|EWR|OSL|
OSL|COD,|COD|DEN|EWR|OSL|
OSL|COS,|COS|ORD|EWR|OSL|
OSL|CPR,|CPR|DEN|EWR|OSL|
OSL|CYS,|CYS|DEN|EWR|OSL|
OSL|DIK,|DIK|DEN|EWR|OSL|
OSL|DRO,|DRO|DEN|EWR|OSL|
OSL|DSM,|DSM|EWR|OSL|
OSL|EGE,|EGE|DEN|EWR|OSL|
OSL|ELP,|ELP|DAL|LIT|BWI|EWR|OSL|
OSL|EUG,|EUG|PDX|EWR|OSL|
OSL|FAR,|FAR|ORD|EWR|OSL|
