ZIH|MCT,|MCT|AUH|YYZ|IAH|ZIH|
ZIH|AYT,|AYT|IST|IAH|ZIH|
ZIH|SCQ,|SCQ|BIO|IST|IAH|ZIH|
ZIH|AAL,|AAL|IST|IAH|ZIH|
ZIH|AOE,|AOE|BRU|YUL|IAH|ZIH|
ZIH|JNB,|JNB|DKR|IAD|IAH|ZIH|
ZIH|LBV,|LBV|DLA|BRU|YUL|IAH|ZIH|
ZIH|ADA,|ADA|SAW|VIE|YYZ|IAH|ZIH|
ZIH|ADB,|ADB|HAM|EWR|IAH|ZIH|
ZIH|ADF,|ADF|ESB|VIE|YYZ|IAH|ZIH|
ZIH|AJI,|AJI|ESB|VIE|YYZ|IAH|ZIH|
ZIH|BAL,|BAL|ESB|VIE|YYZ|IAH|ZIH|
ZIH|BJV,|BJV|IST|IAH|ZIH|
ZIH|CKZ,|CKZ|ESB|VIE|YYZ|IAH|ZIH|
ZIH|DIY,|DIY|ESB|VIE|YYZ|IAH|ZIH|
ZIH|ECN,|ECN|IST|IAH|ZIH|
ZIH|ERC,|ERC|ESB|VIE|YYZ|IAH|ZIH|
ZIH|ERZ,|ERZ|ESB|VIE|YYZ|IAH|ZIH|
ZIH|EZS,|EZS|ESB|VIE|YYZ|IAH|ZIH|
ZIH|GNY,|GNY|ESB|VIE|YYZ|IAH|ZIH|
ZIH|GZP,|GZP|ESB|VIE|YYZ|IAH|ZIH|
ZIH|GZT,|GZT|ESB|VIE|YYZ|IAH|ZIH|
ZIH|HTY,|HTY|SAW|VIE|YYZ|IAH|ZIH|
ZIH|KCM,|KCM|ESB|VIE|YYZ|IAH|ZIH|
ZIH|KSY,|KSY|ESB|VIE|YYZ|IAH|ZIH|
ZIH|MLX,|MLX|ESB|VIE|YYZ|IAH|ZIH|
ZIH|MQM,|MQM|ESB|VIE|YYZ|IAH|ZIH|
ZIH|MSR,|MSR|ESB|VIE|YYZ|IAH|ZIH|
ZIH|TEQ,|TEQ|ESB|VIE|YYZ|IAH|ZIH|
ZIH|TZX,|TZX|ESB|VIE|YYZ|IAH|ZIH|
ZIH|VAN,|VAN|ESB|VIE|YYZ|IAH|ZIH|
ZIH|ULN,|ULN|FRU|IST|IAH|ZIH|
ZIH|HIJ,|HIJ|ICN|YVR|IAH|ZIH|
ZIH|VVO,|VVO|ICN|YVR|IAH|ZIH|
ZIH|ACC,|ACC|IST|IAH|ZIH|
ZIH|AER,|AER|IST|IAH|ZIH|
ZIH|AGP,|AGP|IST|IAH|ZIH|
ZIH|ALG,|ALG|IST|IAH|ZIH|
ZIH|AMM,|AMM|IST|IAH|ZIH|
ZIH|AQJ,|AQJ|IST|IAH|ZIH|
ZIH|ARN,|ARN|EWR|IAH|ZIH|
ZIH|ASR,|ASR|SAW|VIE|YYZ|IAH|ZIH|
ZIH|ATH,|ATH|IST|IAH|ZIH|
ZIH|BAH,|BAH|IST|IAH|ZIH|
ZIH|BEG,|BEG|IST|IAH|ZIH|
ZIH|BEN,|BEN|IST|IAH|ZIH|
ZIH|BEY,|BEY|IST|IAH|ZIH|
ZIH|BHX,|BHX|EWR|IAH|ZIH|
ZIH|BIO,|BIO|IST|IAH|ZIH|
ZIH|BLQ,|BLQ|IST|IAH|ZIH|
ZIH|BOM,|BOM|EWR|IAH|ZIH|
ZIH|BRE,|BRE|IST|IAH|ZIH|
ZIH|BSL,|BSL|IST|IAH|ZIH|
ZIH|BSR,|BSR|IST|IAH|ZIH|
ZIH|BUD,|BUD|IST|IAH|ZIH|
ZIH|BUS,|BUS|IST|IAH|ZIH|
ZIH|CAI,|CAI|JFK|IAD|IAH|ZIH|
ZIH|CGN,|CGN|IST|IAH|ZIH|
ZIH|CMN,|CMN|IST|IAH|ZIH|
ZIH|CND,|CND|IST|IAH|ZIH|
ZIH|DAR,|DAR|NBO|ZRH|YUL|IAH|ZIH|
ZIH|DLM,|DLM|IST|IAH|ZIH|
ZIH|DMM,|DMM|IST|IAH|ZIH|
ZIH|DNK,|DNK|IST|IAH|ZIH|
ZIH|DNZ,|DNZ|IST|IAH|ZIH|
ZIH|DOK,|DOK|IST|IAH|ZIH|
ZIH|DUS,|DUS|ORD|IAH|ZIH|
ZIH|EDI,|EDI|EWR|IAH|ZIH|
ZIH|ELQ,|ELQ|IST|IAH|ZIH|
ZIH|FDH,|FDH|IST|IAH|ZIH|
ZIH|GOA,|GOA|IST|IAH|ZIH|
ZIH|GOT,|GOT|BRU|YUL|IAH|ZIH|
ZIH|HAJ,|HAJ|BRU|YUL|IAH|ZIH|
ZIH|HBE,|HBE|IST|IAH|ZIH|
