NUE|ALB,|ALB|EWR|BHX|IST|NUE|
NUE|AUS,|AUS|ORD|IST|NUE|
NUE|BFD,|BFD|CLE|YYZ|IST|NUE|
NUE|BUF,|BUF|EWR|BHX|IST|NUE|
NUE|CHS,|CHS|EWR|BHX|IST|NUE|
NUE|DAY,|DAY|CLE|YYZ|IST|NUE|
NUE|DUJ,|DUJ|CLE|YYZ|IST|NUE|
NUE|ERI,|ERI|CLE|YYZ|IST|NUE|
NUE|FKL,|FKL|CLE|YYZ|IST|NUE|
NUE|FNT,|FNT|CLE|YYZ|IST|NUE|
NUE|GRR,|GRR|CLE|YYZ|IST|NUE|
NUE|GSP,|GSP|EWR|BHX|IST|NUE|
NUE|PBI,|PBI|EWR|BHX|IST|NUE|
NUE|PKB,|PKB|CLE|YYZ|IST|NUE|
NUE|RIC,|RIC|EWR|BHX|IST|NUE|
NUE|SDF,|SDF|CLE|YYZ|IST|NUE|
NUE|GUM,|GUM|FUK|ICN|IST|NUE|
NUE|WRL,|WRL|CYS|DEN|FRA|IST|NUE|
NUE|LBL,|NUE|
NUE|ABQ,|ABQ|DEN|FRA|IST|NUE|
