BFL|MSQ,|MSQ|IST|LAX|BFL|
BFL|MXP,|MXP|EWR|DEN|BFL|
BFL|MZH,|MZH|IST|LAX|BFL|
BFL|MZR,|MZR|IST|LAX|BFL|
BFL|NAJ,|NAJ|IST|LAX|BFL|
BFL|NAV,|NAV|IST|LAX|BFL|
BFL|NCE,|NCE|IST|LAX|BFL|
BFL|NIM,|NIM|IST|LAX|BFL|
BFL|NJF,|NJF|IST|LAX|BFL|
BFL|NSI,|NSI|BRU|ORD|DEN|BFL|
BFL|NUE,|NUE|IST|LAX|BFL|
BFL|ODS,|ODS|IST|LAX|BFL|
BFL|ORN,|ORN|IST|LAX|BFL|
BFL|OTP,|OTP|IST|LAX|BFL|
BFL|PRG,|PRG|BRU|ORD|DEN|BFL|
BFL|PRN,|PRN|IST|LAX|BFL|
BFL|RIX,|RIX|IST|LAX|BFL|
BFL|ROV,|ROV|IST|LAX|BFL|
BFL|RTM,|RTM|IST|LAX|BFL|
BFL|RUH,|RUH|IST|LAX|BFL|
BFL|SAH,|SAH|IST|LAX|BFL|
BFL|SJJ,|SJJ|IST|LAX|BFL|
BFL|SKG,|SKG|IST|LAX|BFL|
BFL|SKP,|SKP|IST|LAX|BFL|
BFL|SSH,|SSH|IST|LAX|BFL|
BFL|STR,|STR|EWR|DEN|BFL|
BFL|SVX,|SVX|IST|LAX|BFL|
BFL|SYZ,|SYZ|IST|LAX|BFL|
BFL|SZG,|SZG|IST|LAX|BFL|
BFL|TBZ,|TBZ|IST|LAX|BFL|
BFL|TGD,|TGD|IST|LAX|BFL|
BFL|TIA,|TIA|IST|LAX|BFL|
BFL|TIF,|TIF|IST|LAX|BFL|
BFL|TIP,|TIP|IST|LAX|BFL|
BFL|TLL,|TLL|VNO|CPH|YYZ|DEN|BFL|
BFL|TLS,|TLS|IST|LAX|BFL|
BFL|TRN,|TRN|IST|LAX|BFL|
BFL|TUN,|TUN|IST|LAX|BFL|
BFL|TXL,|TXL|EWR|DEN|BFL|
BFL|UFA,|UFA|IST|LAX|BFL|
BFL|VAS,|VAS|IST|LAX|BFL|
BFL|VCE,|VCE|IST|LAX|BFL|
BFL|YNB,|YNB|IST|LAX|BFL|
BFL|ZAG,|ZAG|IST|LAX|BFL|
BFL|MGQ,|MGQ|JIB|IST|LAX|BFL|
BFL|CPT,|CPT|JNB|DKR|IAD|DEN|BFL|
BFL|MBA,|MBA|JRO|IST|LAX|BFL|
BFL|NDJ,|NDJ|KAN|IST|LAX|BFL|
BFL|CMB,|CMB|MLE|CAN|PVG|SFO|BFL|
BFL|ADE,|ADE|SAH|IST|LAX|BFL|
BFL|ASF,|ASF|SAW|FRA|DEN|BFL|
