CSX|MGW,|MGW|IAD|PEK|CSX|
CSX|ALB,|ALB|EWR|PEK|CSX|
CSX|AUS,|AUS|DEN|YVR|ICN|CSX|
CSX|BFD,|BFD|CLE|YYZ|PEK|CSX|
CSX|BUF,|BUF|CLE|YYZ|PEK|CSX|
CSX|CHS,|CHS|ORD|PEK|CSX|
CSX|DAY,|DAY|ORD|PEK|CSX|
CSX|DUJ,|DUJ|CLE|YYZ|PEK|CSX|
CSX|ERI,|ERI|CLE|YYZ|PEK|CSX|
CSX|FKL,|FKL|CLE|YYZ|PEK|CSX|
CSX|FNT,|FNT|CLE|YYZ|PEK|CSX|
CSX|GRR,|GRR|ORD|PEK|CSX|
CSX|GSP,|GSP|ORD|PEK|CSX|
CSX|PBI,|PBI|ATL|ORD|PEK|CSX|
CSX|PKB,|PKB|CLE|YYZ|PEK|CSX|
CSX|RIC,|RIC|IAD|PEK|CSX|
CSX|SDF,|SDF|ORD|PEK|CSX|
CSX|GUM,|GUM|HKG|CAN|CSX|
CSX|WRL,|WRL|CYS|DEN|YVR|ICN|CSX|
CSX|LBL,|CSX|
CSX|ABQ,|ABQ|SEA|ICN|CSX|
CSX|AIA,|AIA|DEN|YVR|ICN|CSX|
CSX|ALS,|ALS|DEN|YVR|ICN|CSX|
CSX|AMA,|AMA|DEN|YVR|ICN|CSX|
CSX|ANC,|ANC|SEA|ICN|CSX|
CSX|ASE,|ASE|DEN|YVR|ICN|CSX|
