PHL|ORN,|ORN|IST|IAD|PHL|
PHL|OTP,|OTP|IST|IAD|PHL|
PHL|PRG,|PRG|BRU|IAD|PHL|
PHL|PRN,|PRN|IST|IAD|PHL|
PHL|RIX,|RIX|IST|IAD|PHL|
PHL|ROV,|ROV|IST|IAD|PHL|
PHL|RTM,|RTM|IST|IAD|PHL|
PHL|RUH,|RUH|IST|IAD|PHL|
PHL|SAH,|SAH|IST|IAD|PHL|
PHL|SJJ,|SJJ|IST|IAD|PHL|
PHL|SKG,|SKG|IST|IAD|PHL|
PHL|SKP,|SKP|IST|IAD|PHL|
PHL|SSH,|SSH|IST|IAD|PHL|
PHL|STR,|STR|EWR|IAD|PHL|
PHL|SVX,|SVX|IST|IAD|PHL|
PHL|SYZ,|SYZ|IST|IAD|PHL|
PHL|SZG,|SZG|IST|IAD|PHL|
PHL|TBZ,|TBZ|IST|IAD|PHL|
PHL|TGD,|TGD|IST|IAD|PHL|
PHL|TIA,|TIA|IST|IAD|PHL|
PHL|TIF,|TIF|IST|IAD|PHL|
PHL|TIP,|TIP|IST|IAD|PHL|
PHL|TLL,|TLL|VNO|CPH|YYZ|PHL|
PHL|TLS,|TLS|IST|IAD|PHL|
PHL|TRN,|TRN|IST|IAD|PHL|
PHL|TUN,|TUN|IST|IAD|PHL|
PHL|TXL,|TXL|EWR|IAD|PHL|
PHL|UFA,|UFA|IST|IAD|PHL|
PHL|VAS,|VAS|SAW|FRA|IAD|PHL|
PHL|VCE,|VCE|IST|IAD|PHL|
PHL|YNB,|YNB|IST|IAD|PHL|
PHL|ZAG,|ZAG|IST|IAD|PHL|
PHL|MGQ,|MGQ|JIB|IST|IAD|PHL|
PHL|CPT,|CPT|JNB|DKR|IAD|PHL|
PHL|MBA,|MBA|JRO|IST|IAD|PHL|
PHL|NDJ,|NDJ|KAN|IST|IAD|PHL|
PHL|CMB,|CMB|MLE|IST|IAD|PHL|
PHL|ADE,|ADE|SAH|IST|IAD|PHL|
