VNO|CDR,|CDR|AIA|DEN|YYZ|CPH|VNO|
VNO|FMN,|FMN|DEN|YYZ|CPH|VNO|
VNO|JST,|JST|IAD|EWR|OSL|CPH|VNO|
VNO|JHW,|JHW|CLE|YYZ|CPH|VNO|
VNO|SHD,|SHD|IAD|EWR|OSL|CPH|VNO|
VNO|PTY,|PTY|EWR|OSL|CPH|VNO|
VNO|FNA,|FNA|BRU|IST|VNO|
VNO|SXB,|SXB|BRU|IST|VNO|
VNO|ACV,|ACV|SMF|SEA|FRA|VNO|
VNO|MGW,|MGW|IAD|EWR|OSL|CPH|VNO|
VNO|ALB,|ALB|EWR|OSL|CPH|VNO|
VNO|AUS,|AUS|CLE|YYZ|CPH|VNO|
VNO|BFD,|BFD|CLE|YYZ|CPH|VNO|
VNO|BUF,|BUF|CLE|YYZ|CPH|VNO|
VNO|CHS,|CHS|EWR|OSL|CPH|VNO|
VNO|DAY,|DAY|CLE|YYZ|CPH|VNO|
VNO|DUJ,|DUJ|CLE|YYZ|CPH|VNO|
VNO|ERI,|ERI|CLE|YYZ|CPH|VNO|
VNO|FKL,|FKL|CLE|YYZ|CPH|VNO|
VNO|FNT,|FNT|CLE|YYZ|CPH|VNO|
VNO|GRR,|GRR|CLE|YYZ|CPH|VNO|
VNO|GSP,|GSP|CLE|YYZ|CPH|VNO|
VNO|PBI,|PBI|EWR|OSL|CPH|VNO|
VNO|PKB,|PKB|CLE|YYZ|CPH|VNO|
VNO|RIC,|RIC|EWR|OSL|CPH|VNO|
VNO|SDF,|SDF|CLE|YYZ|CPH|VNO|
VNO|GUM,|GUM|FUK|ICN|IST|VNO|
VNO|WRL,|WRL|CYS|DEN|YYZ|CPH|VNO|
VNO|LBL,|VNO|
VNO|ABQ,|ABQ|ORD|YYZ|CPH|VNO|
VNO|AIA,|AIA|DEN|YYZ|CPH|VNO|
VNO|ALS,|ALS|DEN|YYZ|CPH|VNO|
