XUZ|MSR,|MSR|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|TEQ,|TEQ|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|TZX,|TZX|SAW|TBS|URC|INC|XUZ|
XUZ|VAN,|VAN|SAW|TBS|URC|INC|XUZ|
XUZ|ULN,|ULN|FRU|URC|INC|XUZ|
XUZ|HIJ,|HIJ|ICN|PEK|HSN|LYG|XUZ|
XUZ|VVO,|VVO|ICN|PEK|HSN|LYG|XUZ|
XUZ|ACC,|ACC|IST|URC|INC|XUZ|
XUZ|AER,|AER|IST|URC|INC|XUZ|
XUZ|AGP,|AGP|IST|URC|INC|XUZ|
XUZ|ALG,|ALG|IST|URC|INC|XUZ|
XUZ|AMM,|AMM|IST|URC|INC|XUZ|
XUZ|AQJ,|AQJ|IST|URC|INC|XUZ|
XUZ|ARN,|ARN|IST|URC|INC|XUZ|
XUZ|ASR,|ASR|SAW|TBS|URC|INC|XUZ|
XUZ|ATH,|ATH|IST|URC|INC|XUZ|
XUZ|BAH,|BAH|KWI|SAW|TBS|URC|INC|XUZ|
XUZ|BEG,|BEG|IST|URC|INC|XUZ|
XUZ|BEN,|BEN|IST|URC|INC|XUZ|
XUZ|BEY,|BEY|IST|URC|INC|XUZ|
XUZ|BHX,|BHX|IST|URC|INC|XUZ|
XUZ|BIO,|BIO|IST|URC|INC|XUZ|
XUZ|BLQ,|BLQ|IST|URC|INC|XUZ|
XUZ|BOM,|BOM|IST|URC|INC|XUZ|
XUZ|BRE,|BRE|IST|URC|INC|XUZ|
XUZ|BSL,|BSL|IST|URC|INC|XUZ|
XUZ|BSR,|BSR|IST|URC|INC|XUZ|
XUZ|BUD,|BUD|IST|URC|INC|XUZ|
XUZ|BUS,|BUS|IST|URC|INC|XUZ|
XUZ|CAI,|CAI|IST|URC|INC|XUZ|
XUZ|CGN,|CGN|IST|URC|INC|XUZ|
XUZ|CMN,|CMN|IST|URC|INC|XUZ|
XUZ|CND,|CND|IST|URC|INC|XUZ|
XUZ|DAR,|DAR|NBO|CAN|XUZ|
XUZ|DLM,|DLM|IST|URC|INC|XUZ|
XUZ|DMM,|DMM|IST|URC|INC|XUZ|
XUZ|DNK,|DNK|IST|URC|INC|XUZ|
XUZ|DNZ,|DNZ|IST|URC|INC|XUZ|
XUZ|DOK,|DOK|IST|URC|INC|XUZ|
