SVX|NDJ,|NDJ|KAN|IST|SVX|
SVX|CMB,|CMB|MLE|IST|SVX|
SVX|ADE,|ADE|SAH|IST|SVX|
SVX|ASF,|ASF|SAW|ADB|IST|SVX|
SVX|STW,|STW|SAW|ADB|IST|SVX|
SVX|LFW,|LFW|ABJ|OUA|NIM|IST|SVX|
SVX|CEC,|CEC|ACV|SMF|SEA|FRA|IST|SVX|
SVX|SMF,|SMF|SEA|FRA|IST|SVX|
SVX|CDR,|CDR|AIA|DEN|FRA|IST|SVX|
SVX|FMN,|FMN|DEN|FRA|IST|SVX|
SVX|JST,|JST|IAD|IST|SVX|
SVX|JHW,|JHW|CLE|YYZ|IST|SVX|
SVX|SHD,|SHD|IAD|IST|SVX|
SVX|PTY,|PTY|MIA|ZRH|IST|SVX|
SVX|FNA,|FNA|BRU|IST|SVX|
SVX|SXB,|SXB|BRU|IST|SVX|
SVX|ACV,|ACV|SMF|SEA|FRA|IST|SVX|
SVX|MGW,|MGW|IAD|IST|SVX|
SVX|ALB,|ALB|EWR|BHX|IST|SVX|
SVX|AUS,|AUS|ORD|IST|SVX|
SVX|BFD,|BFD|CLE|YYZ|IST|SVX|
SVX|BUF,|BUF|EWR|BHX|IST|SVX|
SVX|CHS,|CHS|EWR|BHX|IST|SVX|
SVX|DAY,|DAY|CLE|YYZ|IST|SVX|
SVX|DUJ,|DUJ|CLE|YYZ|IST|SVX|
SVX|ERI,|ERI|CLE|YYZ|IST|SVX|
SVX|FKL,|FKL|CLE|YYZ|IST|SVX|
SVX|FNT,|FNT|CLE|YYZ|IST|SVX|
SVX|GRR,|GRR|CLE|YYZ|IST|SVX|
SVX|GSP,|GSP|EWR|BHX|IST|SVX|
SVX|PBI,|PBI|EWR|BHX|IST|SVX|
SVX|PKB,|PKB|CLE|YYZ|IST|SVX|
SVX|RIC,|RIC|EWR|BHX|IST|SVX|
SVX|SDF,|SDF|CLE|YYZ|IST|SVX|
SVX|GUM,|GUM|FUK|ICN|IST|SVX|
SVX|WRL,|WRL|CYS|DEN|FRA|IST|SVX|
SVX|LBL,|SVX|
SVX|ABQ,|ABQ|DEN|FRA|IST|SVX|
