YQL|LEJ,|LEJ|IST|FRA|YYC|YQL|
YQL|LGW,|LGW|IST|FRA|YYC|YQL|
YQL|LHE,|LHE|IST|FRA|YYC|YQL|
YQL|LIS,|LIS|EWR|YYC|YQL|
YQL|LJU,|LJU|IST|FRA|YYC|YQL|
YQL|LOS,|LOS|FRA|YYC|YQL|
YQL|LUX,|LUX|IST|FRA|YYC|YQL|
YQL|LWO,|LWO|IST|FRA|YYC|YQL|
YQL|LYS,|LYS|IST|FRA|YYC|YQL|
YQL|MAD,|MAD|EWR|YYC|YQL|
YQL|MAN,|MAN|EWR|YYC|YQL|
YQL|MED,|MED|IST|FRA|YYC|YQL|
YQL|MHD,|MHD|IST|FRA|YYC|YQL|
YQL|MLA,|MLA|IST|FRA|YYC|YQL|
YQL|MRS,|MRS|IST|FRA|YYC|YQL|
YQL|MSQ,|MSQ|IST|FRA|YYC|YQL|
YQL|MXP,|MXP|EWR|YYC|YQL|
YQL|MZH,|MZH|IST|FRA|YYC|YQL|
YQL|MZR,|MZR|IST|FRA|YYC|YQL|
YQL|NAJ,|NAJ|IST|FRA|YYC|YQL|
YQL|NAV,|NAV|IST|FRA|YYC|YQL|
YQL|NCE,|NCE|IST|FRA|YYC|YQL|
YQL|NIM,|NIM|IST|FRA|YYC|YQL|
YQL|NJF,|NJF|IST|FRA|YYC|YQL|
YQL|NSI,|NSI|BRU|YUL|YYC|YQL|
YQL|NUE,|NUE|IST|FRA|YYC|YQL|
