DYU|TXL,|TXL|IST|DYU|
DYU|UFA,|UFA|IST|DYU|
DYU|VAS,|VAS|IST|DYU|
DYU|VCE,|VCE|IST|DYU|
DYU|YNB,|YNB|IST|DYU|
DYU|ZAG,|ZAG|IST|DYU|
DYU|MGQ,|MGQ|JIB|IST|DYU|
DYU|CPT,|CPT|JNB|IST|DYU|
DYU|MBA,|MBA|JRO|IST|DYU|
DYU|NDJ,|NDJ|KAN|IST|DYU|
DYU|CMB,|CMB|MLE|IST|DYU|
DYU|ADE,|ADE|SAH|IST|DYU|
DYU|ASF,|ASF|SAW|ADB|IST|DYU|
DYU|STW,|STW|SAW|ADB|IST|DYU|
DYU|LFW,|LFW|ABJ|OUA|NIM|IST|DYU|
DYU|CEC,|CEC|SFO|PEK|URC|DYU|
DYU|SMF,|SMF|SFO|PEK|URC|DYU|
DYU|CDR,|CDR|AIA|DEN|FRA|IST|DYU|
DYU|FMN,|FMN|DEN|FRA|IST|DYU|
DYU|JST,|JST|IAD|IST|DYU|
DYU|JHW,|JHW|CLE|YYZ|IST|DYU|
DYU|SHD,|SHD|IAD|IST|DYU|
DYU|PTY,|PTY|MIA|ZRH|IST|DYU|
DYU|FNA,|FNA|BRU|IST|DYU|
DYU|SXB,|SXB|BRU|IST|DYU|
DYU|ACV,|ACV|SFO|PEK|URC|DYU|
DYU|MGW,|MGW|IAD|IST|DYU|
DYU|ALB,|ALB|EWR|BHX|IST|DYU|
DYU|AUS,|AUS|ORD|IST|DYU|
DYU|BFD,|BFD|CLE|YYZ|IST|DYU|
DYU|BUF,|BUF|EWR|BHX|IST|DYU|
DYU|CHS,|CHS|EWR|BHX|IST|DYU|
DYU|DAY,|DAY|CLE|YYZ|IST|DYU|
DYU|DUJ,|DUJ|CLE|YYZ|IST|DYU|
DYU|ERI,|ERI|CLE|YYZ|IST|DYU|
DYU|FKL,|FKL|CLE|YYZ|IST|DYU|
DYU|FNT,|FNT|CLE|YYZ|IST|DYU|
DYU|GRR,|GRR|CLE|YYZ|IST|DYU|
DYU|GSP,|GSP|EWR|BHX|IST|DYU|
DYU|PBI,|PBI|EWR|BHX|IST|DYU|
DYU|PKB,|PKB|CLE|YYZ|IST|DYU|
DYU|RIC,|RIC|EWR|BHX|IST|DYU|
DYU|SDF,|SDF|CLE|YYZ|IST|DYU|
DYU|GUM,|GUM|FUK|ICN|PEK|URC|DYU|
DYU|WRL,|WRL|CYS|DEN|FRA|IST|DYU|
DYU|LBL,|DYU|
DYU|ABQ,|ABQ|DEN|FRA|IST|DYU|
DYU|AIA,|AIA|DEN|FRA|IST|DYU|
DYU|ALS,|ALS|DEN|FRA|IST|DYU|
DYU|AMA,|AMA|DEN|FRA|IST|DYU|
DYU|ANC,|ANC|SEA|PEK|URC|DYU|
DYU|ASE,|ASE|DEN|FRA|IST|DYU|
DYU|BFL,|BFL|SFO|PEK|URC|DYU|
