OKJ|MQM,|MQM|IST|ICN|FUK|GUM|OKJ|
OKJ|MSR,|MSR|IST|ICN|FUK|GUM|OKJ|
OKJ|TEQ,|TEQ|ESB|IST|ICN|FUK|GUM|OKJ|
OKJ|TZX,|TZX|IST|ICN|FUK|GUM|OKJ|
OKJ|VAN,|VAN|IST|ICN|FUK|GUM|OKJ|
OKJ|ULN,|ULN|FRU|URC|PEK|ICN|FUK|GUM|OKJ|
OKJ|HIJ,|HIJ|ICN|FUK|GUM|OKJ|
OKJ|VVO,|VVO|ICN|FUK|GUM|OKJ|
OKJ|ACC,|ACC|IST|ICN|FUK|GUM|OKJ|
OKJ|AER,|AER|IST|ICN|FUK|GUM|OKJ|
OKJ|AGP,|AGP|IST|ICN|FUK|GUM|OKJ|
OKJ|ALG,|ALG|IST|ICN|FUK|GUM|OKJ|
OKJ|AMM,|AMM|IST|ICN|FUK|GUM|OKJ|
OKJ|AQJ,|AQJ|IST|ICN|FUK|GUM|OKJ|
OKJ|ARN,|ARN|IST|ICN|FUK|GUM|OKJ|
OKJ|ASR,|ASR|IST|ICN|FUK|GUM|OKJ|
OKJ|ATH,|ATH|IST|ICN|FUK|GUM|OKJ|
OKJ|BAH,|BAH|IST|ICN|FUK|GUM|OKJ|
OKJ|BEG,|BEG|IST|ICN|FUK|GUM|OKJ|
OKJ|BEN,|BEN|IST|ICN|FUK|GUM|OKJ|
OKJ|BEY,|BEY|IST|ICN|FUK|GUM|OKJ|
OKJ|BHX,|BHX|IST|ICN|FUK|GUM|OKJ|
