HPN|TZX,|TZX|ESB|VIE|ORD|HPN|
HPN|VAN,|VAN|ESB|VIE|ORD|HPN|
HPN|ULN,|ULN|FRU|IST|ORD|HPN|
HPN|HIJ,|HIJ|ICN|YVR|ORD|HPN|
HPN|VVO,|VVO|ICN|YVR|ORD|HPN|
HPN|ACC,|ACC|IST|ORD|HPN|
HPN|AER,|AER|IST|ORD|HPN|
HPN|AGP,|AGP|IST|ORD|HPN|
HPN|ALG,|ALG|IST|ORD|HPN|
HPN|AMM,|AMM|IST|ORD|HPN|
HPN|AQJ,|AQJ|IST|ORD|HPN|
HPN|ARN,|ARN|EWR|ORD|HPN|
HPN|ASR,|ASR|SAW|VIE|ORD|HPN|
HPN|ATH,|ATH|IST|ORD|HPN|
HPN|BAH,|BAH|IST|ORD|HPN|
HPN|BEG,|BEG|IST|ORD|HPN|
HPN|BEN,|BEN|IST|ORD|HPN|
HPN|BEY,|BEY|IST|ORD|HPN|
HPN|BHX,|BHX|EWR|ORD|HPN|
HPN|BIO,|BIO|IST|ORD|HPN|
HPN|BLQ,|BLQ|IST|ORD|HPN|
HPN|BOM,|BOM|IST|ORD|HPN|
HPN|BRE,|BRE|IST|ORD|HPN|
HPN|BSL,|BSL|IST|ORD|HPN|
HPN|BSR,|BSR|IST|ORD|HPN|
HPN|BUD,|BUD|IST|ORD|HPN|
HPN|BUS,|BUS|IST|ORD|HPN|
HPN|CAI,|CAI|IST|ORD|HPN|
HPN|CGN,|CGN|IST|ORD|HPN|
HPN|CMN,|CMN|IST|ORD|HPN|
HPN|CND,|CND|IST|ORD|HPN|
HPN|DAR,|DAR|NBO|ZRH|ORD|HPN|
HPN|DLM,|DLM|IST|ORD|HPN|
HPN|DMM,|DMM|IST|ORD|HPN|
HPN|DNK,|DNK|IST|ORD|HPN|
HPN|DNZ,|DNZ|IST|ORD|HPN|
HPN|DOK,|DOK|IST|ORD|HPN|
HPN|DUS,|DUS|ORD|HPN|
HPN|EDI,|EDI|EWR|ORD|HPN|
HPN|ELQ,|ELQ|IST|ORD|HPN|
HPN|FDH,|FDH|IST|ORD|HPN|
HPN|GOA,|GOA|IST|ORD|HPN|
HPN|GOT,|GOT|BRU|ORD|HPN|
HPN|HAJ,|HAJ|BRU|ORD|HPN|
HPN|HBE,|HBE|IST|ORD|HPN|
HPN|HEL,|HEL|IST|ORD|HPN|
HPN|HRG,|HRG|IST|ORD|HPN|
HPN|IFN,|IFN|IST|ORD|HPN|
HPN|ISE,|ISE|IST|ORD|HPN|
HPN|ISU,|ISU|IST|ORD|HPN|
HPN|JIB,|JIB|IST|ORD|HPN|
HPN|JRO,|JRO|IST|ORD|HPN|
HPN|KAN,|KAN|IST|ORD|HPN|
HPN|KBL,|KBL|IST|ORD|HPN|
HPN|KBP,|KBP|IST|ORD|HPN|
HPN|KFS,|KFS|IST|ORD|HPN|
HPN|KHI,|KHI|IST|ORD|HPN|
HPN|KIV,|KIV|IST|ORD|HPN|
HPN|KRT,|KRT|IST|ORD|HPN|
HPN|KSH,|KSH|IST|ORD|HPN|
HPN|KVD,|KVD|IST|ORD|HPN|
HPN|KWI,|KWI|SAW|VIE|ORD|HPN|
HPN|KYA,|KYA|IST|ORD|HPN|
HPN|KZN,|KZN|IST|ORD|HPN|
HPN|KZR,|KZR|IST|ORD|HPN|
HPN|LED,|LED|VIE|ORD|HPN|
HPN|LEJ,|LEJ|IST|ORD|HPN|
HPN|LGW,|LGW|IST|ORD|HPN|
HPN|LHE,|LHE|IST|ORD|HPN|
HPN|LIS,|LIS|EWR|ORD|HPN|
HPN|LJU,|LJU|IST|ORD|HPN|
HPN|LOS,|LOS|FRA|ORD|HPN|
HPN|LUX,|LUX|IST|ORD|HPN|
HPN|LWO,|LWO|IST|ORD|HPN|
HPN|LYS,|LYS|IST|ORD|HPN|
HPN|MAD,|MAD|EWR|ORD|HPN|
HPN|MAN,|MAN|EWR|ORD|HPN|
HPN|MED,|MED|IST|ORD|HPN|
HPN|MHD,|MHD|IST|ORD|HPN|
HPN|MLA,|MLA|IST|ORD|HPN|
HPN|MRS,|MRS|IST|ORD|HPN|
HPN|MSQ,|MSQ|IST|ORD|HPN|
HPN|MXP,|MXP|EWR|ORD|HPN|
HPN|MZH,|MZH|IST|ORD|HPN|
HPN|MZR,|MZR|IST|ORD|HPN|
HPN|NAJ,|NAJ|IST|ORD|HPN|
HPN|NAV,|NAV|IST|ORD|HPN|
HPN|NCE,|NCE|IST|ORD|HPN|
HPN|NIM,|NIM|IST|ORD|HPN|
HPN|NJF,|NJF|IST|ORD|HPN|
HPN|NSI,|NSI|BRU|ORD|HPN|
HPN|NUE,|NUE|IST|ORD|HPN|
HPN|ODS,|ODS|IST|ORD|HPN|
HPN|ORN,|ORN|IST|ORD|HPN|
HPN|OTP,|OTP|IST|ORD|HPN|
HPN|PRG,|PRG|BRU|ORD|HPN|
HPN|PRN,|PRN|IST|ORD|HPN|
HPN|RIX,|RIX|IST|ORD|HPN|
HPN|ROV,|ROV|IST|ORD|HPN|
HPN|RTM,|RTM|IST|ORD|HPN|
HPN|RUH,|RUH|IST|ORD|HPN|
HPN|SAH,|SAH|IST|ORD|HPN|
HPN|SJJ,|SJJ|IST|ORD|HPN|
HPN|SKG,|SKG|IST|ORD|HPN|
HPN|SKP,|SKP|IST|ORD|HPN|
HPN|SSH,|SSH|IST|ORD|HPN|
HPN|STR,|STR|EWR|ORD|HPN|
HPN|SVX,|SVX|IST|ORD|HPN|
HPN|SYZ,|SYZ|IST|ORD|HPN|
HPN|SZG,|SZG|IST|ORD|HPN|
HPN|TBZ,|TBZ|IST|ORD|HPN|
HPN|TGD,|TGD|IST|ORD|HPN|
HPN|TIA,|TIA|IST|ORD|HPN|
HPN|TIF,|TIF|IST|ORD|HPN|
HPN|TIP,|TIP|IST|ORD|HPN|
HPN|TLL,|TLL|VNO|CPH|YYZ|ORD|HPN|
HPN|TLS,|TLS|IST|ORD|HPN|
HPN|TRN,|TRN|IST|ORD|HPN|
HPN|TUN,|TUN|IST|ORD|HPN|
HPN|TXL,|TXL|EWR|ORD|HPN|
HPN|UFA,|UFA|IST|ORD|HPN|
HPN|VAS,|VAS|SAW|VIE|ORD|HPN|
HPN|VCE,|VCE|IST|ORD|HPN|
HPN|YNB,|YNB|IST|ORD|HPN|
HPN|ZAG,|ZAG|IST|ORD|HPN|
HPN|MGQ,|MGQ|JIB|IST|ORD|HPN|
HPN|CPT,|CPT|JNB|DKR|IAD|ORD|HPN|
HPN|MBA,|MBA|JRO|IST|ORD|HPN|
HPN|NDJ,|NDJ|KAN|IST|ORD|HPN|
HPN|CMB,|CMB|MLE|IST|ORD|HPN|
HPN|ADE,|ADE|SAH|IST|ORD|HPN|
