IND|BUS,|BUS|IST|YYZ|IND|
IND|CAI,|CAI|IST|YYZ|IND|
IND|CGN,|CGN|IST|YYZ|IND|
IND|CMN,|CMN|IST|YYZ|IND|
IND|CND,|CND|IST|YYZ|IND|
IND|DAR,|DAR|NBO|ZRH|YYZ|IND|
IND|DLM,|DLM|IST|YYZ|IND|
IND|DMM,|DMM|IST|YYZ|IND|
IND|DNK,|DNK|IST|YYZ|IND|
IND|DNZ,|DNZ|IST|YYZ|IND|
IND|DOK,|DOK|IST|YYZ|IND|
IND|DUS,|DUS|EWR|IND|
IND|EDI,|EDI|EWR|IND|
IND|ELQ,|ELQ|IST|YYZ|IND|
IND|FDH,|FDH|IST|YYZ|IND|
IND|GOA,|GOA|IST|YYZ|IND|
IND|GOT,|GOT|BRU|YUL|YYZ|IND|
IND|HAJ,|HAJ|BRU|YUL|YYZ|IND|
IND|HBE,|HBE|IST|YYZ|IND|
IND|HEL,|HEL|IST|YYZ|IND|
IND|HRG,|HRG|IST|YYZ|IND|
IND|IFN,|IFN|IST|YYZ|IND|
IND|ISE,|ISE|IST|YYZ|IND|
IND|ISU,|ISU|IST|YYZ|IND|
IND|JIB,|JIB|IST|YYZ|IND|
IND|JRO,|JRO|IST|YYZ|IND|
IND|KAN,|KAN|IST|YYZ|IND|
IND|KBL,|KBL|IST|YYZ|IND|
IND|KBP,|KBP|IST|YYZ|IND|
IND|KFS,|KFS|IST|YYZ|IND|
IND|KHI,|KHI|IST|YYZ|IND|
IND|KIV,|KIV|IST|YYZ|IND|
IND|KRT,|KRT|IST|YYZ|IND|
IND|KSH,|KSH|IST|YYZ|IND|
IND|KVD,|KVD|IST|YYZ|IND|
IND|KWI,|KWI|SAW|VIE|YYZ|IND|
IND|KYA,|KYA|IST|YYZ|IND|
IND|KZN,|KZN|IST|YYZ|IND|
IND|KZR,|KZR|IST|YYZ|IND|
IND|LED,|LED|VIE|YYZ|IND|
IND|LEJ,|LEJ|IST|YYZ|IND|
IND|LGW,|LGW|IST|YYZ|IND|
IND|LHE,|LHE|IST|YYZ|IND|
IND|LIS,|LIS|EWR|IND|
IND|LJU,|LJU|IST|YYZ|IND|
IND|LOS,|LOS|IAH|IND|
IND|LUX,|LUX|IST|YYZ|IND|
IND|LWO,|LWO|IST|YYZ|IND|
IND|LYS,|LYS|IST|YYZ|IND|
IND|MAD,|MAD|EWR|IND|
IND|MAN,|MAN|EWR|IND|
IND|MED,|MED|IST|YYZ|IND|
IND|MHD,|MHD|IST|YYZ|IND|
IND|MLA,|MLA|IST|YYZ|IND|
IND|MRS,|MRS|IST|YYZ|IND|
IND|MSQ,|MSQ|IST|YYZ|IND|
IND|MXP,|MXP|EWR|IND|
IND|MZH,|MZH|IST|YYZ|IND|
IND|MZR,|MZR|IST|YYZ|IND|
IND|NAJ,|NAJ|IST|YYZ|IND|
IND|NAV,|NAV|IST|YYZ|IND|
IND|NCE,|NCE|IST|YYZ|IND|
IND|NIM,|NIM|IST|YYZ|IND|
IND|NJF,|NJF|IST|YYZ|IND|
IND|NSI,|NSI|BRU|YUL|YYZ|IND|
IND|NUE,|NUE|IST|YYZ|IND|
IND|ODS,|ODS|IST|YYZ|IND|
IND|ORN,|ORN|IST|YYZ|IND|
IND|OTP,|OTP|IST|YYZ|IND|
IND|PRG,|PRG|BRU|YUL|YYZ|IND|
IND|PRN,|PRN|IST|YYZ|IND|
IND|RIX,|RIX|IST|YYZ|IND|
IND|ROV,|ROV|IST|YYZ|IND|
IND|RTM,|RTM|IST|YYZ|IND|
IND|RUH,|RUH|IST|YYZ|IND|
IND|SAH,|SAH|IST|YYZ|IND|
IND|SJJ,|SJJ|IST|YYZ|IND|
IND|SKG,|SKG|IST|YYZ|IND|
IND|SKP,|SKP|IST|YYZ|IND|
IND|SSH,|SSH|IST|YYZ|IND|
IND|STR,|STR|EWR|IND|
IND|SVX,|SVX|IST|YYZ|IND|
IND|SYZ,|SYZ|IST|YYZ|IND|
IND|SZG,|SZG|IST|YYZ|IND|
IND|TBZ,|TBZ|IST|YYZ|IND|
IND|TGD,|TGD|IST|YYZ|IND|
IND|TIA,|TIA|IST|YYZ|IND|
IND|TIF,|TIF|IST|YYZ|IND|
IND|TIP,|TIP|IST|YYZ|IND|
IND|TLL,|TLL|VNO|CPH|YYZ|IND|
IND|TLS,|TLS|IST|YYZ|IND|
IND|TRN,|TRN|IST|YYZ|IND|
IND|TUN,|TUN|IST|YYZ|IND|
IND|TXL,|TXL|EWR|IND|
IND|UFA,|UFA|IST|YYZ|IND|
IND|VAS,|VAS|SAW|VIE|YYZ|IND|
IND|VCE,|VCE|IST|YYZ|IND|
IND|YNB,|YNB|IST|YYZ|IND|
IND|ZAG,|ZAG|IST|YYZ|IND|
IND|MGQ,|MGQ|JIB|IST|YYZ|IND|
IND|CPT,|CPT|JNB|DKR|IAD|IND|
IND|MBA,|MBA|JRO|IST|YYZ|IND|
IND|NDJ,|NDJ|KAN|IST|YYZ|IND|
IND|CMB,|CMB|MLE|IST|YYZ|IND|
IND|ADE,|ADE|SAH|IST|YYZ|IND|
IND|ASF,|ASF|SAW|VIE|YYZ|IND|
IND|STW,|STW|SAW|VIE|YYZ|IND|
IND|LFW,|LFW|ABJ|BRU|YUL|YYZ|IND|
IND|CEC,|CEC|ACV|SMF|DEN|IND|
IND|SMF,|SMF|DEN|IND|
IND|CDR,|CDR|AIA|DEN|IND|
IND|FMN,|FMN|DEN|IND|
IND|JST,|JST|IAD|IND|
IND|JHW,|JHW|CLE|IND|
IND|SHD,|SHD|IAD|IND|
IND|PTY,|PTY|MCO|IND|
IND|FNA,|FNA|BRU|YUL|YYZ|IND|
IND|SXB,|SXB|BRU|YUL|YYZ|IND|
IND|ACV,|ACV|SMF|DEN|IND|
IND|MGW,|MGW|IAD|IND|
IND|ALB,|ALB|CLE|IND|
IND|AUS,|AUS|IAH|IND|
IND|BFD,|BFD|CLE|IND|
IND|BUF,|BUF|CLE|IND|
IND|CHS,|CHS|ATL|IND|
IND|DAY,|DAY|ORD|IND|
IND|DUJ,|DUJ|CLE|IND|
IND|ERI,|ERI|CLE|IND|
IND|FKL,|FKL|CLE|IND|
IND|FNT,|FNT|CLE|IND|
IND|GRR,|GRR|ORD|IND|
IND|GSP,|GSP|CLE|IND|
IND|PBI,|PBI|ATL|IND|
IND|PKB,|PKB|CLE|IND|
IND|RIC,|RIC|IAD|IND|
IND|SDF,|SDF|ORD|IND|
IND|GUM,|GUM|NRT|ORD|IND|
IND|WRL,|WRL|CYS|DEN|IND|
IND|LBL,|IND|
IND|ABQ,|ABQ|MCI|IND|
IND|AIA,|AIA|DEN|IND|
IND|ALS,|ALS|DEN|IND|
IND|AMA,|AMA|DAL|MCI|IND|
IND|ANC,|ANC|ORD|IND|
IND|ASE,|ASE|DEN|IND|
IND|BFL,|BFL|DEN|IND|
IND|BHM,|BHM|ORD|IND|
IND|BIL,|BIL|DEN|IND|
IND|BIS,|BIS|DEN|IND|
IND|BOI,|BOI|ORD|IND|
IND|BUR,|BUR|LAS|IND|
IND|BZN,|BZN|ORD|IND|
IND|CID,|CID|ORD|IND|
IND|COD,|COD|DEN|IND|
IND|COS,|COS|DEN|IND|
IND|CPR,|CPR|DEN|IND|
