EUG|BEY,|BEY|IST|FRA|SEA|PDX|EUG|
EUG|BHX,|BHX|EWR|PDX|EUG|
EUG|BIO,|BIO|IST|FRA|SEA|PDX|EUG|
EUG|BLQ,|BLQ|IST|FRA|SEA|PDX|EUG|
EUG|BOM,|BOM|IST|FRA|SEA|PDX|EUG|
EUG|BRE,|BRE|IST|FRA|SEA|PDX|EUG|
EUG|BSL,|BSL|IST|FRA|SEA|PDX|EUG|
EUG|BSR,|BSR|IST|FRA|SEA|PDX|EUG|
EUG|BUD,|BUD|IST|FRA|SEA|PDX|EUG|
EUG|BUS,|BUS|IST|FRA|SEA|PDX|EUG|
EUG|CAI,|CAI|IST|FRA|SEA|PDX|EUG|
EUG|CGN,|CGN|IST|FRA|SEA|PDX|EUG|
EUG|CMN,|CMN|IST|FRA|SEA|PDX|EUG|
EUG|CND,|CND|IST|FRA|SEA|PDX|EUG|
EUG|DAR,|DAR|IST|FRA|SEA|PDX|EUG|
EUG|DLM,|DLM|IST|FRA|SEA|PDX|EUG|
EUG|DMM,|DMM|IST|FRA|SEA|PDX|EUG|
EUG|DNK,|DNK|IST|FRA|SEA|PDX|EUG|
EUG|DNZ,|DNZ|IST|FRA|SEA|PDX|EUG|
EUG|DOK,|DOK|IST|FRA|SEA|PDX|EUG|
EUG|DUS,|DUS|ORD|PDX|EUG|
EUG|EDI,|EDI|EWR|PDX|EUG|
EUG|ELQ,|ELQ|IST|FRA|SEA|PDX|EUG|
EUG|FDH,|FDH|IST|FRA|SEA|PDX|EUG|
EUG|GOA,|GOA|IST|FRA|SEA|PDX|EUG|
EUG|GOT,|GOT|BRU|YUL|YYC|PDX|EUG|
EUG|HAJ,|HAJ|BRU|YUL|YYC|PDX|EUG|
EUG|HBE,|HBE|IST|FRA|SEA|PDX|EUG|
EUG|HEL,|HEL|IST|FRA|SEA|PDX|EUG|
EUG|HRG,|HRG|IST|FRA|SEA|PDX|EUG|
EUG|IFN,|IFN|IST|FRA|SEA|PDX|EUG|
EUG|ISE,|ISE|IST|FRA|SEA|PDX|EUG|
EUG|ISU,|ISU|IST|FRA|SEA|PDX|EUG|
EUG|JIB,|JIB|IST|FRA|SEA|PDX|EUG|
EUG|JRO,|JRO|IST|FRA|SEA|PDX|EUG|
EUG|KAN,|KAN|IST|FRA|SEA|PDX|EUG|
EUG|KBL,|KBL|IST|FRA|SEA|PDX|EUG|
EUG|KBP,|KBP|IST|FRA|SEA|PDX|EUG|
EUG|KFS,|KFS|IST|FRA|SEA|PDX|EUG|
EUG|KHI,|KHI|IST|FRA|SEA|PDX|EUG|
EUG|KIV,|KIV|IST|FRA|SEA|PDX|EUG|
EUG|KRT,|KRT|IST|FRA|SEA|PDX|EUG|
EUG|KSH,|KSH|IST|FRA|SEA|PDX|EUG|
EUG|KVD,|KVD|IST|FRA|SEA|PDX|EUG|
EUG|KWI,|KWI|SAW|FRA|SEA|PDX|EUG|
