YYY|MHD,|MHD|IST|FRA|YUL|YYY|
YYY|MLA,|MLA|IST|FRA|YUL|YYY|
YYY|MRS,|MRS|IST|FRA|YUL|YYY|
YYY|MSQ,|MSQ|IST|FRA|YUL|YYY|
YYY|MXP,|MXP|EWR|YUL|YYY|
YYY|MZH,|MZH|IST|FRA|YUL|YYY|
YYY|MZR,|MZR|IST|FRA|YUL|YYY|
YYY|NAJ,|NAJ|IST|FRA|YUL|YYY|
YYY|NAV,|NAV|IST|FRA|YUL|YYY|
YYY|NCE,|NCE|IST|FRA|YUL|YYY|
YYY|NIM,|NIM|IST|FRA|YUL|YYY|
