EBB|NSI,|NSI|IST|EBB|
EBB|NUE,|NUE|IST|EBB|
EBB|ODS,|ODS|IST|EBB|
EBB|ORN,|ORN|IST|EBB|
EBB|OTP,|OTP|IST|EBB|
EBB|PRG,|PRG|IST|EBB|
EBB|PRN,|PRN|IST|EBB|
EBB|RIX,|RIX|IST|EBB|
EBB|ROV,|ROV|IST|EBB|
EBB|RTM,|RTM|IST|EBB|
EBB|RUH,|RUH|IST|EBB|
EBB|SAH,|SAH|IST|EBB|
EBB|SJJ,|SJJ|IST|EBB|
EBB|SKG,|SKG|IST|EBB|
EBB|SKP,|SKP|IST|EBB|
EBB|SSH,|SSH|IST|EBB|
EBB|STR,|STR|IST|EBB|
EBB|SVX,|SVX|IST|EBB|
EBB|SYZ,|SYZ|IST|EBB|
EBB|SZG,|SZG|IST|EBB|
EBB|TBZ,|TBZ|IST|EBB|
EBB|TGD,|TGD|IST|EBB|
EBB|TIA,|TIA|IST|EBB|
EBB|TIF,|TIF|IST|EBB|
EBB|TIP,|TIP|IST|EBB|
EBB|TLL,|TLL|IST|EBB|
EBB|TLS,|TLS|IST|EBB|
EBB|TRN,|TRN|IST|EBB|
EBB|TUN,|TUN|IST|EBB|
EBB|TXL,|TXL|IST|EBB|
EBB|UFA,|UFA|IST|EBB|
EBB|VAS,|VAS|IST|EBB|
EBB|VCE,|VCE|IST|EBB|
EBB|YNB,|YNB|IST|EBB|
EBB|ZAG,|ZAG|IST|EBB|
EBB|MGQ,|MGQ|JIB|IST|EBB|
EBB|CPT,|CPT|JNB|IST|EBB|
EBB|MBA,|MBA|JRO|IST|EBB|
EBB|NDJ,|NDJ|KAN|IST|EBB|
EBB|CMB,|CMB|MLE|IST|EBB|
EBB|ADE,|ADE|SAH|IST|EBB|
EBB|ASF,|ASF|SAW|ADB|IST|EBB|
EBB|STW,|STW|SAW|ADB|IST|EBB|
EBB|LFW,|LFW|ABJ|OUA|NIM|IST|EBB|
EBB|CEC,|CEC|ACV|SMF|SEA|FRA|IST|EBB|
EBB|SMF,|SMF|SEA|FRA|IST|EBB|
EBB|CDR,|CDR|AIA|DEN|ORD|BRU|EBB|
EBB|FMN,|FMN|DEN|ORD|BRU|EBB|
EBB|JST,|JST|IAD|BRU|EBB|
EBB|JHW,|JHW|CLE|YYZ|BRU|EBB|
EBB|SHD,|SHD|IAD|BRU|EBB|
EBB|PTY,|PTY|JFK|BRU|EBB|
EBB|FNA,|FNA|BRU|EBB|
EBB|SXB,|SXB|BRU|EBB|
EBB|ACV,|ACV|SMF|SEA|FRA|IST|EBB|
EBB|MGW,|MGW|IAD|BRU|EBB|
EBB|ALB,|ALB|EWR|BRU|EBB|
EBB|AUS,|AUS|CLE|YYZ|BRU|EBB|
EBB|BFD,|BFD|CLE|YYZ|BRU|EBB|
EBB|BUF,|BUF|EWR|BRU|EBB|
EBB|CHS,|CHS|EWR|BRU|EBB|
EBB|DAY,|DAY|CLE|YYZ|BRU|EBB|
EBB|DUJ,|DUJ|CLE|YYZ|BRU|EBB|
EBB|ERI,|ERI|CLE|YYZ|BRU|EBB|
EBB|FKL,|FKL|CLE|YYZ|BRU|EBB|
EBB|FNT,|FNT|CLE|YYZ|BRU|EBB|
