HAV|SKP,|SKP|IST|YYZ|HAV|
HAV|SSH,|SSH|IST|YYZ|HAV|
HAV|STR,|STR|EWR|YYZ|HAV|
HAV|SVX,|SVX|IST|YYZ|HAV|
HAV|SYZ,|SYZ|IST|YYZ|HAV|
HAV|SZG,|SZG|IST|YYZ|HAV|
HAV|TBZ,|TBZ|IST|YYZ|HAV|
HAV|TGD,|TGD|IST|YYZ|HAV|
HAV|TIA,|TIA|IST|YYZ|HAV|
HAV|TIF,|TIF|IST|YYZ|HAV|
HAV|TIP,|TIP|IST|YYZ|HAV|
HAV|TLL,|TLL|VNO|CPH|YYZ|HAV|
HAV|TLS,|TLS|IST|YYZ|HAV|
