DAR|SKP,|SKP|IST|DAR|
DAR|SSH,|SSH|IST|DAR|
DAR|STR,|STR|IST|DAR|
DAR|SVX,|SVX|IST|DAR|
DAR|SYZ,|SYZ|IST|DAR|
DAR|SZG,|SZG|IST|DAR|
DAR|TBZ,|TBZ|IST|DAR|
DAR|TGD,|TGD|IST|DAR|
DAR|TIA,|TIA|IST|DAR|
DAR|TIF,|TIF|IST|DAR|
DAR|TIP,|TIP|IST|DAR|
DAR|TLL,|TLL|IST|DAR|
DAR|TLS,|TLS|IST|DAR|
DAR|TRN,|TRN|IST|DAR|
DAR|TUN,|TUN|IST|DAR|
DAR|TXL,|TXL|IST|DAR|
DAR|UFA,|UFA|IST|DAR|
DAR|VAS,|VAS|IST|DAR|
DAR|VCE,|VCE|IST|DAR|
DAR|YNB,|YNB|IST|DAR|
DAR|ZAG,|ZAG|IST|DAR|
DAR|MGQ,|MGQ|JIB|IST|DAR|
DAR|CPT,|CPT|JNB|IST|DAR|
DAR|MBA,|MBA|JRO|IST|DAR|
DAR|NDJ,|NDJ|KAN|IST|DAR|
DAR|CMB,|CMB|MLE|IST|DAR|
DAR|ADE,|ADE|SAH|IST|DAR|
DAR|ASF,|ASF|SAW|ADB|IST|DAR|
DAR|STW,|STW|SAW|ADB|IST|DAR|
DAR|LFW,|LFW|ABJ|OUA|NIM|IST|DAR|
DAR|CEC,|CEC|SFO|ZRH|NBO|DAR|
DAR|SMF,|SMF|SFO|ZRH|NBO|DAR|
DAR|CDR,|CDR|AIA|DEN|ORD|ZRH|NBO|DAR|
DAR|FMN,|FMN|DEN|ORD|ZRH|NBO|DAR|
DAR|JST,|JST|IAD|ZRH|NBO|DAR|
DAR|JHW,|JHW|CLE|YYZ|ZRH|NBO|DAR|
DAR|SHD,|SHD|IAD|ZRH|NBO|DAR|
DAR|PTY,|PTY|MIA|ZRH|NBO|DAR|
